fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,policy_action
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,35,72,3,0.7892109155654907,-0.061282407492399216,0.07149654626846313,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,36,72,3,0.7939358353614807,-0.062359873205423355,0.06772740930318832,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,37,72,3,0.7982032895088196,-0.06425627321004868,0.06393993645906448,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,38,72,3,0.8021119832992554,-0.06678848713636398,0.060203272849321365,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,39,72,3,0.805726170539856,-0.06980258971452713,0.05657552555203438,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,40,72,3,0.8090894818305969,-0.07317246496677399,0.0531010702252388,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,41,72,3,0.8122332096099854,-0.07679542154073715,0.04981091991066933,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,42,72,3,0.8151804208755493,-0.08058855682611465,0.04672493785619736,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,43,72,3,0.8179489970207214,-0.0844835638999939,0.043854083865880966,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,44,72,3,0.8205527067184448,-0.08842512965202332,0.04120233282446861,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,45,72,3,0.8230027556419373,-0.09236735105514526,0.03876865282654762,True,True,running,False,False,4,True
