fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,action_saturated,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,state_x,state_y,state_psi,state_vx,state_vy,state_speed,state_yaw_rate,physical_steer,physical_throttle,physical_brake,policy_action
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,0,72,3,0.9720993638038635,-0.8128403425216675,-0.5082072019577026,True,True,False,running,False,False,4,0.15988499921767038,0.0008804532712854134,0.000707805055154564,7.98863937781737,0.0822388705117672,7.989062669715224,0.06864836552894436,0.9720993638038635,0.09357982873916626,0.24589639902114868,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,1,72,3,0.9725109934806824,-0.7887297868728638,-0.3892112374305725,True,True,False,running,False,False,4,0.31943637535752,0.0036109291744127166,0.0027582056884150243,7.967017827998206,0.16405126705359518,7.968706663559849,0.1354419941713499,0.9725109934806824,0.10563510656356812,0.30539438128471375,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,2,72,3,0.9712647199630737,-0.7776270508766174,-0.34247976541519165,True,True,False,running,False,False,4,0.4784549070261567,0.008333612457038484,0.006076452861432182,7.936857371045401,0.23878963284513594,7.940448691168027,0.19565557690764515,0.9712647199630737,0.11118647456169128,0.3287601172924042,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,3,72,3,0.9692965745925903,-0.7671313881874084,-0.31505563855171204,True,True,False,running,False,False,4,0.6367662728774889,0.015087233864405926,0.010531398364423076,7.89945446852587,0.3058104993040761,7.9053716523512,0.24923125579389704,0.9692965745925903,0.11643430590629578,0.3424721956253052,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,4,72,3,0.9664425253868103,-0.7563393712043762,-0.2963850200176239,True,True,False,running,False,False,4,0.7942151121890857,0.023878860923211648,0.015992544186397423,7.85583193237074,0.36511423443323515,7.864312033092378,0.2963702527399955,0.9664425253868103,0.12183031439781189,0.35180747509002686,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,5,72,3,0.9619770050048828,-0.7435413002967834,-0.281789630651474,True,True,False,running,False,False,4,0.9506617367114594,0.034692596609816925,0.02233325780656388,7.8068152309477705,0.41685701359136845,7.8179366728017445,0.3372713244937925,0.9619770050048828,0.12822934985160828,0.3591051697731018,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,6,72,3,0.9547871351242065,-0.7260578274726868,-0.2703242301940918,True,True,False,running,False,False,4,1.1059894804337187,0.04749998219588314,0.029436734606493976,7.754043995792129,0.46195307574047456,7.767792410515748,0.37271550403327425,0.9547871351242065,0.13697108626365662,0.3648378849029541,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,7,72,3,0.9453619122505188,-0.707627534866333,-0.27204135060310364,True,True,False,running,False,False,4,1.2601178874904977,0.06227783192063524,0.03720737650959969,7.699617563778519,0.5020024578870922,7.715965078729383,0.4040378152552806,0.9453619122505188,0.1461862325668335,0.3639793395996094,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,8,72,3,0.9353610277175903,-0.6950646042823792,-0.2848547697067261,True,True,False,running,False,False,4,1.41299990080608,0.07901674491174648,0.045573603872606894,7.644899989880854,0.5383057465592641,7.663828607951708,0.4323102792593441,0.9353610277175903,0.15246769785881042,0.35757261514663696,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,9,72,3,0.9245312213897705,-0.6864675283432007,-0.292677104473114,True,True,False,running,False,False,4,1.5646083396708437,0.09771825059607658,0.05448210712496422,7.59064671312228,0.5717923686033113,7.612152391815804,0.45829250991363835,0.9245312213897705,0.15676623582839966,0.353661447763443,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,10,72,3,0.9122979044914246,-0.6771514415740967,-0.29183077812194824,True,True,False,running,False,False,4,1.7149262641222247,0.11839080947002704,0.06389226162314367,7.537262541362632,0.6030928426681426,7.561352233185929,0.48249663830145,0.9122979044914246,0.16142427921295166,0.3540846109390259,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,11,72,3,0.8979473114013672,-0.6639384627342224,-0.2822732627391815,True,True,False,running,False,False,4,1.8639418259767049,0.141046616087807,0.07377199140379359,7.484987412288272,0.6326325795507164,7.511674949225564,0.5052674144980813,0.8979473114013672,0.1680307686328888,0.35886335372924805,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,12,72,3,0.8807402849197388,-0.6455973982810974,-0.2652431130409241,True,True,False,running,False,False,4,2.0116460728371903,0.16569958786357217,0.084095092162004,7.434003626122944,0.6607106202879588,7.463306803084701,0.5268483642306236,0.8807402849197388,0.1772013008594513,0.36737844347953796,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,13,72,3,0.8601314425468445,-0.6219995021820068,-0.24230581521987915,True,True,False,running,False,False,4,2.1580323609956027,0.19236438236291148,0.09483966125067095,7.384490213479914,0.6875536733805007,7.416429448647081,0.5474266773108997,0.8601314425468445,0.18900024890899658,0.3788470923900604,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,14,72,3,0.8359553813934326,-0.5935857892036438,-0.21497076749801636,True,True,False,running,False,False,4,2.3030964902262263,0.22105611213180418,0.10598722657237689,7.336643303871573,0.713346945475146,7.37124133595301,0.5671584804320747,0.8359553813934326,0.2032071053981781,0.3925146162509918,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,15,72,3,0.808542013168335,-0.5610466599464417,-0.18451590836048126,True,True,False,running,False,False,4,2.4468370038768237,0.25179041038050637,0.11752222638763968,7.290674976757524,0.738246757226132,7.327956733720064,0.5861788473868474,0.808542013168335,0.21947667002677917,0.40774205327033997,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,16,72,3,0.7787512540817261,-0.5251132845878601,-0.15191547572612762,True,True,False,running,False,False,4,2.5892553269702403,0.2845835489251013,0.12943158423749926,7.246799399622785,0.7623807076149403,7.28679119240538,0.6046014199068682,0.7787512540817261,0.23744335770606995,0.4240422546863556,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,17,72,3,0.7479222416877747,-0.48644664883613586,-0.11787386238574982,True,True,False,running,False,False,4,2.730355582729243,0.3194523896621305,0.1417042207550942,7.205213037325752,0.7858412365861472,7.247940491089054,0.6225125318073951,0.7479222416877747,0.25677669048309326,0.4410630762577057,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,18,72,3,0.717764675617218,-0.44562268257141113,-0.0829736515879631,True,True,False,running,False,False,4,2.870144053186583,0.3564140476140305,0.15433043656230097,7.166074242899064,0.8086778240343716,7.211558768936599,0.6399641963502588,0.717764675617218,0.27718865871429443,0.45851317048072815,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,19,72,3,0.690220832824707,-0.4031876027584076,-0.04789736494421959,True,True,False,running,False,False,4,3.0086283391281627,0.395485239188786,0.16730117598520605,7.129486240985677,0.8308916989450766,7.177740248558728,0.6569691638994586,0.690220832824707,0.298406183719635,0.47605133056640625,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,20,72,3,0.6673011183738708,-0.35974574089050293,-0.013650236651301384,True,True,False,running,False,False,4,3.1458163346726877,0.4366813677715665,0.18060723099275566,7.0954864799457305,0.8524352265816814,7.146507832683738,0.6734998187779965,0.6673011183738708,0.32012712955474854,0.49317488074302673,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,21,72,3,0.6508630514144897,-0.31605181097984314,0.018322041258215904,True,True,False,running,False,False,4,3.2817151672557894,0.4800154527615006,0.19423846719550703,7.064044263246465,0.8732166161182804,7.1178106614162155,0.6894913944690201,0.6508630514144897,0.34197407960891724,0.5091609954833984,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,22,72,3,0.6423052549362183,-0.27309584617614746,0.04624791443347931,True,True,False,running,False,False,4,3.416330256092671,0.5254970405700337,0.20818315812420154,7.035066498844426,0.8931099736137531,7.091530587125146,0.7048495121442626,0.6423052549362183,0.36345207691192627,0.5231239795684814,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,23,72,3,0.6422094106674194,-0.2321489006280899,0.06845638155937195,True,True,False,running,False,False,4,3.549664584467979,0.5731312645107771,0.22242752591794424,7.008407889289842,0.9119720462470129,7.067494192130338,0.7194633843885748,0.6422094106674194,0.38392555713653564,0.5342282056808472,True
