slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,success_rate,collision_rate,offtrack_outcome_rate,support_label,profile_name,panel_task_family,source_kind,proxy_template_family,generated_source_row,materialization_semantics,paper_validity_claim
outcome_by_sampled_label,offtrack,60,2,0,58,0.03333333333333333,0.0,0.9666666666666667,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,12,0,1,11,0.0,0.08333333333333333,0.9166666666666666,no_support,,,,,,,
outcome_by_sampled_label,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,,,,,,
outcome_by_sampled_label,offtrack,24,2,0,22,0.08333333333333333,0.0,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,36,3,0,33,0.08333333333333333,0.0,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,72,2,4,66,0.027777777777777776,0.05555555555555555,0.9166666666666666,weak_support,,,,,,,
outcome_by_sampled_label,offtrack,24,0,1,23,0.0,0.041666666666666664,0.9583333333333334,no_support,,,,,,,
outcome_by_sampled_label,offtrack,72,2,6,64,0.027777777777777776,0.08333333333333333,0.8888888888888888,weak_support,,,,,,,
outcome_by_profile_family,offtrack,10,0,2,8,0.0,0.2,0.8,no_support,L0_current_masked,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,1,9,0.0,0.1,0.9,no_support,L0_current_masked,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,1,7,0.0,0.125,0.875,no_support,L0_current_masked,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,1,9,0.0,0.1,0.9,no_support,L1_one_step,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L1_one_step,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_100,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_100,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_100,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_100_current_tiled,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_100_current_tiled,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_100_current_tiled,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_13,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_13,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_13,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_13_current_tiled,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_13_current_tiled,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_13_current_tiled,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_25,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_25,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_25,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_25_current_tiled,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_25_current_tiled,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_25_current_tiled,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_50,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_50,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_50,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_50_current_tiled,T2_same_current_different_older_history,,,,,
outcome_by_profile_family,offtrack,10,0,0,10,0.0,0.0,1.0,no_support,L2_window_50_current_tiled,T3_active_diagnostic_warmup,,,,,
outcome_by_profile_family,offtrack,8,0,0,8,0.0,0.0,1.0,no_support,L2_window_50_current_tiled,T5_source_rich_extreme_dynamics,,,,,
outcome_by_profile_generated_proxy,offtrack,24,0,2,22,0.0,0.08333333333333333,0.9166666666666666,no_support,L0_current_masked,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,2,10,0.0,0.16666666666666666,0.8333333333333334,no_support,L0_current_masked,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,1,11,0.0,0.08333333333333333,0.9166666666666666,no_support,L1_one_step,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_100,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_100,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_100_current_tiled,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_100_current_tiled,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_13,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_13,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_13_current_tiled,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_13_current_tiled,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_25,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_25,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_25_current_tiled,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_25_current_tiled,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_50,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_50,,,,true,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,24,0,0,24,0.0,0.0,1.0,no_support,L2_window_50_current_tiled,,,,false,smoke_proxy,false
outcome_by_profile_generated_proxy,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,L2_window_50_current_tiled,,,,true,smoke_proxy,false
outcome_by_source_family_kind,offtrack,12,0,1,11,0.0,0.08333333333333333,0.9166666666666666,no_support,,T1_reactive_active_safety,anchor_neighborhood,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T1_reactive_active_safety,offtrack_boundary_relief,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T1_reactive_active_safety,success_stabilizer,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T2_same_current_different_older_history,actuator_delay_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T2_same_current_different_older_history,actuator_delay_proxy+capability_step_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T2_same_current_different_older_history,capability_step_proxy,,,,
outcome_by_source_family_kind,offtrack,12,2,0,10,0.16666666666666666,0.0,0.8333333333333334,weak_support,,T2_same_current_different_older_history,capability_step_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,2,10,0.0,0.16666666666666666,0.8333333333333334,no_support,,T2_same_current_different_older_history,same_current_mixed_authority_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T2_same_current_different_older_history,same_current_steer_lag_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,2,10,0.0,0.16666666666666666,0.8333333333333334,no_support,,T2_same_current_different_older_history,same_current_yaw_authority_older_history_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,2,10,0.0,0.16666666666666666,0.8333333333333334,no_support,,T3_active_diagnostic_warmup,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T3_active_diagnostic_warmup,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T3_active_diagnostic_warmup,capability_step_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T3_active_diagnostic_warmup,terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T3_active_diagnostic_warmup,warmup_steer_lag_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,,,,
outcome_by_source_family_kind,offtrack,12,2,0,10,0.16666666666666666,0.0,0.8333333333333334,weak_support,,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T4_variable_diagnostic_delay,actuator_delay_proxy+capability_step_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,1,11,0.0,0.08333333333333333,0.9166666666666666,no_support,,T4_variable_diagnostic_delay,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T4_variable_diagnostic_delay,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T4_variable_diagnostic_delay,terminal_boundary_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T5_source_rich_extreme_dynamics,actuator_delay_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T5_source_rich_extreme_dynamics,actuator_delay_proxy+capability_step_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,1,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,weak_support,,T5_source_rich_extreme_dynamics,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T5_source_rich_extreme_dynamics,capability_step_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,0,12,0.0,0.0,1.0,no_support,,T5_source_rich_extreme_dynamics,capability_step_proxy+warmup_proxy,,,,
outcome_by_source_family_kind,offtrack,12,1,0,11,0.08333333333333333,0.0,0.9166666666666666,weak_support,,T5_source_rich_extreme_dynamics,terminal_boundary_proxy,,,,
outcome_by_source_family_kind,offtrack,12,0,1,11,0.0,0.08333333333333333,0.9166666666666666,no_support,,T5_source_rich_extreme_dynamics,terminal_boundary_proxy+warmup_proxy,,,,
