profile_name,source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,warmup_yaw_authority_proxy,outcome_by_profile_source_kind,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,7.127171589790794,51.97868119301589,89.0,0,,0,,True,0,0,1,1,0,0
L1_one_step,actuator_delay_proxy,outcome_by_profile_source_kind,no_support,2,0,0,2,2,0.0,0.0,1.0,1.0,12.874843664220608,12.854382254795482,78.5,0,,0,,True,0,0,2,2,0,0
L1_one_step,actuator_delay_proxy+capability_step_proxy,outcome_by_profile_source_kind,no_support,3,0,0,3,3,0.0,0.0,1.0,1.0,13.776297143558807,17.088131710279697,100.0,0,,0,,True,0,0,3,3,0,0
L1_one_step,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_profile_source_kind,weak_support,3,1,0,2,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,5.395597193889148,38.748993640835835,76.66666666666667,1,L1_one_step,1,m2033-smoke-0030-m1680-spec-0036,True,1,0,2,2,0,1
L1_one_step,anchor_neighborhood,outcome_by_profile_source_kind,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.009675086166200941,26.091448696411568,67.0,0,,0,,True,0,1,0,0,1,0
L1_one_step,capability_step_proxy,outcome_by_profile_source_kind,no_support,2,0,0,2,2,0.0,0.0,1.0,1.0,16.699012856463487,15.661829894609301,94.5,0,,0,,True,0,0,2,2,0,0
L1_one_step,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_profile_source_kind,weak_support,3,1,0,2,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,3.6872909007155905,48.37836178429992,76.33333333333333,1,L1_one_step,1,m2033-smoke-0032-m1680-spec-0038,True,1,0,2,2,0,1
L1_one_step,capability_step_proxy+warmup_proxy,outcome_by_profile_source_kind,no_support,3,0,0,3,3,0.0,0.0,1.0,1.0,16.96453792753127,25.21579373001208,76.33333333333333,0,,0,,True,0,0,3,3,0,0
L1_one_step,mitigation_isolation_check,outcome_by_profile_source_kind,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.18157001206607948,57.40888208064453,74.0,1,L1_one_step,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,1,0,0,0,0,1
L1_one_step,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,15.68502390190012,16.032567612046112,63.0,0,,0,,True,0,0,1,1,0,0
L1_one_step,same_current_brake_authority_older_history_proxy,outcome_by_profile_source_kind,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,7.159901971671904,-44.222440316900816,197.0,0,,0,,True,0,0,1,1,0,0
L1_one_step,same_current_drive_brake_asymmetry_older_history_proxy,outcome_by_profile_source_kind,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,8.946925563894741,24.62598999933342,61.0,0,,0,,True,0,0,1,1,0,0
L1_one_step,same_current_mixed_authority_older_history_proxy,outcome_by_profile_source_kind,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,4.898486207526977,27.85383413793156,82.0,0,,0,,True,0,0,1,1,0,0
