task_source_id,panel_task_family,source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2033-smoke-0016-m1680-spec-0006,T3_active_diagnostic_warmup,capability_step_proxy+warmup_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,13.007604150084406,25.57223560171308,78.5,1,L3_online_gru,1,m2033-smoke-0016-m1680-spec-0006,True,1,0,11,11,0,1
m2033-smoke-0017-m1680-spec-0043,T3_active_diagnostic_warmup,terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,9.26046167095421,19.576197065597277,75.08333333333333,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00,T3_active_diagnostic_warmup,warmup_brake_authority_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,9.99607408198003,28.29320491126974,76.66666666666667,1,L3_reset_control_corrected,1,m2033-smoke-0018-m2029-t3-warmup_brake_authority_proxy-00,True,1,0,11,11,0,1
m2033-smoke-0019-m2029-t3-warmup_mixed_authority_proxy-00,T3_active_diagnostic_warmup,warmup_mixed_authority_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,11.264418926628084,19.177139876175342,75.75,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0020-m2029-t3-warmup_rear_lateral_authority_proxy-00,T3_active_diagnostic_warmup,warmup_rear_lateral_authority_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,15.856951760744854,18.002998979157756,69.58333333333333,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0021-m2029-t3-warmup_steer_lag_proxy-00,T3_active_diagnostic_warmup,warmup_steer_lag_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,12.19194026107517,17.816978307554297,72.0,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00,T3_active_diagnostic_warmup,warmup_terminal_boundary_recovery_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,8.226363826650145,25.11756311380687,67.33333333333333,1,L3_reset_control_corrected,1,m2033-smoke-0022-m2029-t3-warmup_terminal_boundary_recovery_proxy-00,True,1,0,11,11,0,1
m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,T3_active_diagnostic_warmup,warmup_yaw_authority_proxy,outcome_by_source_family_kind,weak_support,12,2,0,10,10,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,11.933381210116835,29.039123915160285,75.91666666666667,2,L3_online_gru;L3_reset_control_corrected,1,m2033-smoke-0023-m2029-t3-warmup_yaw_authority_proxy-00,True,2,0,10,10,0,2
m2033-smoke-0024-m1680-spec-0000,T4_variable_diagnostic_delay,actuator_delay_proxy+capability_step_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,14.00590092979351,21.36148495305046,78.58333333333333,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0025-m1680-spec-0036,T4_variable_diagnostic_delay,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,7.865864864625217,18.00989913306223,66.75,0,,0,,True,0,1,11,11,1,0
m2033-smoke-0026-m1680-spec-0038,T4_variable_diagnostic_delay,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,8.575565307272521,24.610404491393933,70.83333333333333,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0027-m1680-spec-0040,T4_variable_diagnostic_delay,terminal_boundary_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,5.709996080718649,27.414498769560037,70.16666666666667,1,L1_one_step,1,m2033-smoke-0027-m1680-spec-0040,True,1,0,11,11,0,1
m2033-smoke-0028-m1680-spec-0003,T5_source_rich_extreme_dynamics,actuator_delay_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,12.533176127444081,19.131593908454278,70.91666666666667,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0029-m1680-spec-0000,T5_source_rich_extreme_dynamics,actuator_delay_proxy+capability_step_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,10.988838665770821,22.190909665265263,75.16666666666667,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0030-m1680-spec-0036,T5_source_rich_extreme_dynamics,actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,weak_support,12,1,1,10,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,7.444457298404643,20.253208452351434,69.5,1,L1_one_step,1,m2033-smoke-0030-m1680-spec-0036,True,1,1,10,10,1,1
m2033-smoke-0031-m1680-spec-0005,T5_source_rich_extreme_dynamics,capability_step_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,10.628866701602387,23.31842071496364,80.33333333333333,1,L3_reset_control_corrected,1,m2033-smoke-0031-m1680-spec-0005,True,1,0,11,11,0,1
m2033-smoke-0032-m1680-spec-0038,T5_source_rich_extreme_dynamics,capability_step_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,weak_support,12,1,2,9,9,0.08333333333333333,0.16666666666666666,0.75,0.75,8.026227396513418,25.461494211605466,63.833333333333336,1,L1_one_step,1,m2033-smoke-0032-m1680-spec-0038,True,1,2,9,9,2,1
m2033-smoke-0033-m1680-spec-0006,T5_source_rich_extreme_dynamics,capability_step_proxy+warmup_proxy,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,11.979132691453833,17.85096149129403,68.75,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0034-m1680-spec-0037,T5_source_rich_extreme_dynamics,terminal_boundary_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,7.443012902492527,21.907725759570692,68.91666666666667,1,L3_reset_control_corrected,1,m2033-smoke-0034-m1680-spec-0037,True,1,0,11,11,0,1
m2033-smoke-0035-m1680-spec-0043,T5_source_rich_extreme_dynamics,terminal_boundary_proxy+warmup_proxy,outcome_by_source_family_kind,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,6.712482869334939,13.890269537857643,62.75,0,,0,,True,0,1,11,11,1,0
