row_id,scenario_role,role_class,source_subject_id,baseline_row_count,m2648_row_count,m2655_row_count,seed_count,dynamics_axis_count,primary_metric,primary_metric_direction,baseline_primary_metric_mean,m2648_primary_metric_mean,m2655_primary_metric_mean,m2648_improved_count,m2648_regressed_count,m2648_unchanged_count,m2655_improved_count,m2655_regressed_count,m2655_unchanged_count,m2655_gate_ids,m2655_gate_pass,m2655_failed_gate_ids,protected_role_excluded_from_target_success_denominator,actor_contract_shape_72_action_3,hidden_or_oracle_actor_input_detected,diagnostic_only_no_ranking_claim,ranking_or_winner_field_emitted,blocks_claims,claim_scope
m2657_scenario_role_metric_stable_avoidable,stable_avoidable,target,m2537_mitigation_preserving_policy,8,8,8,4,2,minimum_road_margin_m,higher_is_better,0.28817248845075577,0.320100939480544,0.30972466889868555,8,0,0,8,0,0,target_road_boundary_margin_control,True,,False,True,False,True,False,False,"Route A source-only scenario-role target/protected tradeoff report only; source artifacts reanalyzed without repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2657_scenario_role_metric_stable_aes,stable_aes,target,m2537_mitigation_preserving_policy,8,8,8,4,2,minimum_road_margin_m,higher_is_better,-0.5678075489492364,-0.5185055124283844,-0.5343728099351368,8,0,0,8,0,0,target_road_boundary_margin_control,True,,False,True,False,True,False,False,"Route A source-only scenario-role target/protected tradeoff report only; source artifacts reanalyzed without repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2657_scenario_role_metric_drift_required_recovery,drift_required_recovery,target,m2537_mitigation_preserving_policy,8,8,8,4,2,drift_tradeoff_proxy,higher_is_better,2.063252195343164,2.0936556456079867,2.0842013448831773,8,0,0,8,0,0,target_drift_collision_recovery_tradeoff,True,,False,True,False,True,False,False,"Route A source-only scenario-role target/protected tradeoff report only; source artifacts reanalyzed without repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
m2657_scenario_role_metric_unavoidable_mitigation,unavoidable_mitigation,protected,m2537_mitigation_preserving_policy,8,8,8,4,2,severity_proxy,lower_is_better,1.9827645411236117,1.9401099640805874,1.953888207742441,7,1,0,7,1,0,severity_proxy_non_regression;obstacle_penetration_non_regression;minimum_obstacle_clearance_preservation;event_transition_guard,False,severity_proxy_non_regression;obstacle_penetration_non_regression;minimum_obstacle_clearance_preservation,True,True,False,True,False,True,"Route A source-only scenario-role target/protected tradeoff report only; source artifacts reanalyzed without repair execution, validation, ranking, promotion, success-rate verdict, driver-performance, paper, current-sim, high-fidelity validation, finite-window-vs-GRU, or self-ID claim"
