seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,panel_source_id,panel_task_family,source_origin,source_kind,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,source_reference,materialization_semantics,proxy_template_family,generated_source_row,paper_validity_claim,profile_name,profile_config_path,checkpoint_path,eval_seed,success,controlled_routing_smoke_measured_execution,environment_rollout_started,policy_action_executed,measured_rollout_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made,reset_sampled_obstacle_label
210100,checkpoint,37,True,False,0.9379298427727816,0.3769885969106969,1778.7879678966417,1.226750322687339,1.0001372781838738,0.13085793377938382,1.2533777849897612,0.6213481160919241,1.1915339375540572,0.8341743818793722,0.8341743818793722,24,True,True,unavoidable,True,False,1.366580222562472,1.4583674501676578,-0.09178722760518587,obstacle_collision,False,obstacle_collision,collision_failure,10.792392947090423,0.29168629586730876,0.27222678036990894,0.37964728633027534,0.04720912881700804,0.02491049985583392,0.0,9.33347786454091,0.0028249488677829504,1,nan,nan,0.02,7.0,nan,nan,nan,nan,False,nan,0.02491049985583392,0.22537679161218405,False,False,9.801564281842655,0.0027595259909252547,0.04000640548005578,10.265880823412052,10.265880823412052,0.0,nan,0.0,37,0.27222678036990894,0.04720912881700804,9.33347786454091,0.29168629586730876,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0144_t3::L0_current_masked,m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,,,,,osd_v0_0144_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,210100,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,unavoidable
210101,checkpoint,41,True,False,0.6072360002204487,0.41857908108305625,1335.9773274742568,0.9213636741201771,1.2754443987464739,-0.03185534836129511,1.0368317110176133,1.290680410238692,0.9806776840806843,0.8112063390765504,0.8112063390765504,14,True,True,unavoidable,True,False,1.0913201930563825,1.2469699137743424,-0.1556497207179599,obstacle_collision,False,obstacle_collision,collision_failure,10.816973472441163,0.26382862127905277,0.20782276144011652,0.4885244349518274,0.12004394917484082,0.026771926954088136,0.0,9.655283582890062,0.0026224846951663494,1,nan,nan,0.02,7.0,nan,nan,nan,nan,False,nan,0.026771926954088136,0.27270628320839385,False,False,9.340089573965873,0.008126138007531534,0.07634124397032206,10.130035370956472,10.130035370956472,0.0,nan,0.0,41,0.20782276144011652,0.12004394917484082,9.655283582890062,0.26382862127905277,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0144_t3::L1_one_step,m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,,,,,osd_v0_0144_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,210101,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,unavoidable
210102,checkpoint,35,True,False,0.4988569174579016,0.4988569174579016,1413.5884185616676,0.974888564525288,0.8858598093641309,0.09178358567540101,0.9802968368554875,0.7502067178200791,1.2972330226564786,1.1151874936385315,1.1151874936385315,36,False,True,drift_required,True,False,1.1887804069037466,1.230692750240585,-0.041912343336838465,obstacle_collision,False,obstacle_collision,collision_failure,7.811861998909894,0.22319605711171125,0.5823417339882794,1.2327585359054112,0.170401357901937,0.041056203634088594,0.0,7.920707606860991,0.004291393794119358,1,nan,nan,0.02,7.0,nan,nan,nan,nan,False,nan,0.041056203634088594,0.7052527676657924,False,False,8.566609781565722,0.020635228647443864,0.7052527676657924,8.857014389340215,8.857014389340215,0.0,nan,0.0,35,0.5823417339882794,0.170401357901937,7.920707606860991,0.22319605711171125,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0144_t3::L2_window_50,m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,,,,,osd_v0_0144_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,210102,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210103,checkpoint,33,True,False,1.011158756572896,0.46535485910612845,1544.8518293263364,1.0654150547078183,0.9928765996768085,-0.08713141142373604,0.9308415281746631,0.7057009301024314,0.8589825933731036,1.2450572792148615,1.2450572792148615,23,True,True,unavoidable,True,False,1.39971560494506,1.5394659484506725,-0.13975034350561244,obstacle_collision,False,obstacle_collision,collision_failure,5.684786734434304,0.17226626467982742,0.43912962561718405,0.6209398753517164,0.1057191660892571,0.026628772407119836,0.0,8.587614601747385,0.0023122597485780716,1,nan,nan,0.02,7.0,nan,nan,nan,nan,False,nan,0.026628772407119836,0.2047955676115486,False,False,8.993168686162676,0.011670624043175997,0.10533879322841871,9.708289595035168,9.708289595035168,0.0,nan,0.0,33,0.43912962561718405,0.1057191660892571,8.587614601747385,0.17226626467982742,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0144_t3::L3_online_gru,m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,,,,,osd_v0_0144_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L3_online_gru,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,210103,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,unavoidable
210104,checkpoint,41,True,False,0.5314096937639339,0.4236677891952801,1212.6535628529289,0.8363128019675371,1.000589471513636,-0.09782924417594341,0.6321622845649671,1.2043121910435046,1.1730740734717529,1.5364633059197095,1.5364633059197095,40,True,True,drift_required,True,False,1.0799450480052404,1.2102547401513088,-0.13030969214606847,obstacle_collision,False,obstacle_collision,collision_failure,15.961022310807948,0.3892932270928768,0.3286391311006644,0.6888902457646253,0.1340735461415626,0.017366936211291352,0.0,9.955121041216072,0.0010192005429416895,1,nan,nan,0.02,7.0,nan,nan,nan,nan,False,nan,0.017366936211291352,0.2529755288186582,False,False,10.524846901213909,0.007117733523898216,0.11542756685678522,11.191496985391879,11.191496985391879,0.0,nan,0.0,41,0.3286391311006644,0.1340735461415626,9.955121041216072,0.3892932270928768,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0144_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,,,,,osd_v0_0144_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_reset_control_corrected_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_reset_control_corrected/seed_167400/checkpoint.pt,210104,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210105,checkpoint,33,True,False,0.5664209820077113,0.7460806217262904,1367.3500212632368,0.9430000146643013,1.1289708895734905,0.0414650821752196,1.366155977181387,1.267988572196649,0.7124573956798951,2.1177879409590417,2.1177879409590417,17,True,True,drift_required,True,False,1.1116750457471793,1.1515350708011518,-0.03986002505397246,obstacle_collision,False,obstacle_collision,collision_failure,4.742128161099089,0.14370085336663907,0.3368060092971463,0.6100984410552961,0.03938920444145416,0.08366672185234408,0.0,10.05769356721057,0.0027988003566861153,1,nan,nan,0.02,5.5,nan,nan,nan,nan,False,nan,0.08366672185234408,0.5373853450322519,False,False,9.636218303987913,0.0042047360935657686,0.037947760538788004,9.841415573358438,9.841415573358438,0.0,nan,0.0,33,0.3368060092971463,0.03938920444145416,10.05769356721057,0.14370085336663907,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0145_t3::L0_current_masked,m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,,,,,osd_v0_0145_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,210105,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210106,checkpoint,31,True,False,0.8501736138733484,0.8747918905896682,1389.5354189216903,0.9583002889115105,1.298305834807419,0.12251527363680381,1.229968327265877,1.019804709704561,0.9568643671619772,1.0274715957410494,1.0274715957410494,19,True,True,drift_required,True,False,1.116933885428271,1.2640227829154695,-0.14708889748719844,obstacle_collision,False,obstacle_collision,collision_failure,-1.3029381438092003,-0.042030262703522586,0.7272495955832624,1.3540999388869324,0.04064692750251808,0.018052112293842217,0.0,10.763070682442512,0.0036411250475794077,1,nan,nan,0.02,5.5,nan,nan,nan,nan,False,nan,0.018052112293842217,0.5028033668253983,False,False,10.774879835923416,0.0018219166977795158,0.01788386554653332,11.513023668262951,11.513023668262951,0.0,nan,0.0,31,0.7272495955832624,0.04064692750251808,10.763070682442512,-0.042030262703522586,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0145_t3::L1_one_step,m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,,,,,osd_v0_0145_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,210106,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210107,checkpoint,28,True,False,0.9125139965301601,0.9395326659239254,1405.125063964001,0.9690517682510351,0.832940501058805,0.07946986479309537,0.7107011531513829,1.0941851624959291,0.9886384836780794,1.563436912231217,1.5634369122312168,26,True,True,drift_required,True,False,1.1127916715693231,1.2071038772268032,-0.09431220565748011,obstacle_collision,False,obstacle_collision,collision_failure,-5.744156669738974,-0.20514845249067765,0.4489410803958165,1.0549728730931314,0.24264542114767698,0.030879151216909,0.0,11.368705453426312,0.0043042744509875774,1,nan,nan,0.02,5.5,nan,nan,nan,nan,False,nan,0.030879151216909,0.5233350770668682,False,False,11.362126647691314,0.004998317099941168,0.5233350770668682,11.88852034223537,11.88852034223537,0.0,nan,0.0,28,0.4489410803958165,0.24264542114767698,11.368705453426312,-0.20514845249067765,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0145_t3::L2_window_50,m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,,,,,osd_v0_0145_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,210107,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210108,checkpoint,31,True,False,0.4467884588739095,0.8206906135481001,1736.4996717106142,1.1975859804900788,1.125698066912332,-0.06312312541933407,0.673948363381067,1.2232828967395906,0.987806097938559,1.2103710821340932,1.2103710821340932,18,True,True,drift_required,True,False,1.1567653636483364,1.3229565331123936,-0.1661911694640572,obstacle_collision,False,obstacle_collision,collision_failure,1.2533806159188785,0.04043163277157673,0.20726859966307198,0.40991525265206974,0.09710973910854667,0.019432447623008164,0.0,10.472878501366639,0.0029065802227705717,1,nan,nan,0.02,5.5,nan,nan,nan,nan,False,nan,0.019432447623008164,0.4889233126784247,False,False,10.656171396994186,0.0027252701658129373,0.1478695272653858,11.503276832123916,11.503276832123916,0.0,nan,0.0,31,0.20726859966307198,0.09710973910854667,10.472878501366639,0.04043163277157673,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0145_t3::L3_online_gru,m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,,,,,osd_v0_0145_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L3_online_gru,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,210108,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
210109,checkpoint,42,True,False,0.6869989235977692,0.47911020193680853,1811.4692449118895,1.2492891344219927,0.892730776671059,-0.138626906905162,0.8051665782354253,0.8548336563875205,0.9194844425453186,1.4982647342164452,1.4982647342164452,24,True,True,drift_required,True,False,1.3191116748836633,1.4000712334564331,-0.08095955857276982,obstacle_collision,False,obstacle_collision,collision_failure,14.859075228305912,0.353787505435855,0.2987397005620431,0.598274981291528,0.09350357474357256,0.012900413657505681,0.0,8.766042107881967,0.001279968535527587,1,nan,nan,0.02,5.5,nan,nan,nan,nan,False,nan,0.012900413657505681,0.3771463283200778,False,False,9.126108770214307,0.011670664492055205,0.1244342139328212,9.549185316717466,9.549185316717466,0.0,nan,0.0,42,0.2987397005620431,0.09350357474357256,8.766042107881967,0.353787505435855,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2063-osd-osd_v0_0145_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,m2060_no_rollout_outcome_supported_decisive_generator,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,,,,,osd_v0_0145_t3,smoke_proxy,t4_staged_warmup_capability,true,false,L3_reset_control_corrected,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_reset_control_corrected_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_reset_control_corrected/seed_167400/checkpoint.pt,210109,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,drift_required
