row_index,workload_id,task_source_id,profile_name,missing_metadata_fields
28,m2063-osd-osd_v0_0149_t3::L3_online_gru,m2063-osd-osd_v0_0149_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
29,m2063-osd-osd_v0_0149_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0149_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
30,m2063-osd-osd_v0_0150_t3::L0_current_masked,m2063-osd-osd_v0_0150_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
31,m2063-osd-osd_v0_0150_t3::L1_one_step,m2063-osd-osd_v0_0150_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
32,m2063-osd-osd_v0_0150_t3::L2_window_50,m2063-osd-osd_v0_0150_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
33,m2063-osd-osd_v0_0150_t3::L3_online_gru,m2063-osd-osd_v0_0150_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
34,m2063-osd-osd_v0_0150_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0150_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
35,m2063-osd-osd_v0_0151_t3::L0_current_masked,m2063-osd-osd_v0_0151_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
36,m2063-osd-osd_v0_0151_t3::L1_one_step,m2063-osd-osd_v0_0151_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
37,m2063-osd-osd_v0_0151_t3::L2_window_50,m2063-osd-osd_v0_0151_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
38,m2063-osd-osd_v0_0151_t3::L3_online_gru,m2063-osd-osd_v0_0151_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
39,m2063-osd-osd_v0_0151_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0151_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
40,m2063-osd-osd_v0_0152_t3::L0_current_masked,m2063-osd-osd_v0_0152_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
41,m2063-osd-osd_v0_0152_t3::L1_one_step,m2063-osd-osd_v0_0152_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
42,m2063-osd-osd_v0_0152_t3::L2_window_50,m2063-osd-osd_v0_0152_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
43,m2063-osd-osd_v0_0152_t3::L3_online_gru,m2063-osd-osd_v0_0152_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
44,m2063-osd-osd_v0_0152_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0152_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
45,m2063-osd-osd_v0_0153_t3::L0_current_masked,m2063-osd-osd_v0_0153_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
46,m2063-osd-osd_v0_0153_t3::L1_one_step,m2063-osd-osd_v0_0153_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
47,m2063-osd-osd_v0_0153_t3::L2_window_50,m2063-osd-osd_v0_0153_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
48,m2063-osd-osd_v0_0153_t3::L3_online_gru,m2063-osd-osd_v0_0153_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
49,m2063-osd-osd_v0_0153_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0153_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
50,m2063-osd-osd_v0_0154_t3::L0_current_masked,m2063-osd-osd_v0_0154_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
51,m2063-osd-osd_v0_0154_t3::L1_one_step,m2063-osd-osd_v0_0154_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
52,m2063-osd-osd_v0_0154_t3::L2_window_50,m2063-osd-osd_v0_0154_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
53,m2063-osd-osd_v0_0154_t3::L3_online_gru,m2063-osd-osd_v0_0154_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
54,m2063-osd-osd_v0_0154_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0154_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
55,m2063-osd-osd_v0_0155_t3::L0_current_masked,m2063-osd-osd_v0_0155_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
56,m2063-osd-osd_v0_0155_t3::L1_one_step,m2063-osd-osd_v0_0155_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
57,m2063-osd-osd_v0_0155_t3::L2_window_50,m2063-osd-osd_v0_0155_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
58,m2063-osd-osd_v0_0155_t3::L3_online_gru,m2063-osd-osd_v0_0155_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
59,m2063-osd-osd_v0_0155_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0155_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
60,m2063-osd-osd_v0_0156_t3::L0_current_masked,m2063-osd-osd_v0_0156_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
61,m2063-osd-osd_v0_0156_t3::L1_one_step,m2063-osd-osd_v0_0156_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
62,m2063-osd-osd_v0_0156_t3::L2_window_50,m2063-osd-osd_v0_0156_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
63,m2063-osd-osd_v0_0156_t3::L3_online_gru,m2063-osd-osd_v0_0156_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
64,m2063-osd-osd_v0_0156_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0156_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
65,m2063-osd-osd_v0_0157_t3::L0_current_masked,m2063-osd-osd_v0_0157_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
66,m2063-osd-osd_v0_0157_t3::L1_one_step,m2063-osd-osd_v0_0157_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
67,m2063-osd-osd_v0_0157_t3::L2_window_50,m2063-osd-osd_v0_0157_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
68,m2063-osd-osd_v0_0157_t3::L3_online_gru,m2063-osd-osd_v0_0157_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
69,m2063-osd-osd_v0_0157_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0157_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
70,m2063-osd-osd_v0_0158_t3::L0_current_masked,m2063-osd-osd_v0_0158_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
71,m2063-osd-osd_v0_0158_t3::L1_one_step,m2063-osd-osd_v0_0158_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
72,m2063-osd-osd_v0_0158_t3::L2_window_50,m2063-osd-osd_v0_0158_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
73,m2063-osd-osd_v0_0158_t3::L3_online_gru,m2063-osd-osd_v0_0158_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
74,m2063-osd-osd_v0_0158_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0158_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
75,m2063-osd-osd_v0_0159_t3::L0_current_masked,m2063-osd-osd_v0_0159_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
76,m2063-osd-osd_v0_0159_t3::L1_one_step,m2063-osd-osd_v0_0159_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
77,m2063-osd-osd_v0_0159_t3::L2_window_50,m2063-osd-osd_v0_0159_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
78,m2063-osd-osd_v0_0159_t3::L3_online_gru,m2063-osd-osd_v0_0159_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
79,m2063-osd-osd_v0_0159_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0159_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
80,m2063-osd-osd_v0_0160_t3::L0_current_masked,m2063-osd-osd_v0_0160_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
81,m2063-osd-osd_v0_0160_t3::L1_one_step,m2063-osd-osd_v0_0160_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
82,m2063-osd-osd_v0_0160_t3::L2_window_50,m2063-osd-osd_v0_0160_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
83,m2063-osd-osd_v0_0160_t3::L3_online_gru,m2063-osd-osd_v0_0160_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
84,m2063-osd-osd_v0_0160_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0160_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
85,m2063-osd-osd_v0_0161_t3::L0_current_masked,m2063-osd-osd_v0_0161_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
86,m2063-osd-osd_v0_0161_t3::L1_one_step,m2063-osd-osd_v0_0161_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
87,m2063-osd-osd_v0_0161_t3::L2_window_50,m2063-osd-osd_v0_0161_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
88,m2063-osd-osd_v0_0161_t3::L3_online_gru,m2063-osd-osd_v0_0161_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
89,m2063-osd-osd_v0_0161_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0161_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
90,m2063-osd-osd_v0_0162_t3::L0_current_masked,m2063-osd-osd_v0_0162_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
91,m2063-osd-osd_v0_0162_t3::L1_one_step,m2063-osd-osd_v0_0162_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
92,m2063-osd-osd_v0_0162_t3::L2_window_50,m2063-osd-osd_v0_0162_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
93,m2063-osd-osd_v0_0162_t3::L3_online_gru,m2063-osd-osd_v0_0162_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
94,m2063-osd-osd_v0_0162_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0162_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
95,m2063-osd-osd_v0_0163_t3::L0_current_masked,m2063-osd-osd_v0_0163_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
96,m2063-osd-osd_v0_0163_t3::L1_one_step,m2063-osd-osd_v0_0163_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
97,m2063-osd-osd_v0_0163_t3::L2_window_50,m2063-osd-osd_v0_0163_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
98,m2063-osd-osd_v0_0163_t3::L3_online_gru,m2063-osd-osd_v0_0163_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
99,m2063-osd-osd_v0_0163_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0163_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
100,m2063-osd-osd_v0_0164_t3::L0_current_masked,m2063-osd-osd_v0_0164_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
