protection_group,row_role,scenario_role,seed,subject_id,source_row_id,fixture_id,seed_panel_id,failure_surface,protected_metric,guardrail_metric,source_artifact,current_collision_event,current_road_departure_event,current_obstacle_passed_event,current_minimum_road_margin_m,current_minimum_obstacle_clearance_m,current_severity_proxy,current_simultaneous_throttle_brake_fraction,private_holdout,claim_boundary
reference_coast_open_loop,reference_context,unavoidable_mitigation,254300,coast_open_loop,m2523_coast_open_loop_unavoidable_mitigation_seed_254300,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254300,m2523_unavoidable_mitigation_seed_254300,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.361686688574728,-0.378292837861967,3.2581110567201024,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_coast_open_loop,reference_context,unavoidable_mitigation,254301,coast_open_loop,m2523_coast_open_loop_unavoidable_mitigation_seed_254301,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254301,m2523_unavoidable_mitigation_seed_254301,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.2734792752004642,-0.9006629403343818,7.702372735897552,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_coast_open_loop,reference_context,unavoidable_mitigation,254302,coast_open_loop,m2523_coast_open_loop_unavoidable_mitigation_seed_254302,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254302,m2523_unavoidable_mitigation_seed_254302,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.4012312402332725,-1.6332572067208047,13.732129588316134,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_coast_open_loop,reference_context,unavoidable_mitigation,254303,coast_open_loop,m2523_coast_open_loop_unavoidable_mitigation_seed_254303,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254303,m2523_unavoidable_mitigation_seed_254303,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.4099552713459915,-1.1553402730961797,9.621864821243749,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_coast_open_loop,reference_context,unavoidable_mitigation,254304,coast_open_loop,m2523_coast_open_loop_unavoidable_mitigation_seed_254304,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254304,m2523_unavoidable_mitigation_seed_254304,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.596380945619948,-0.3991595592309056,3.341379448049988,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,drift_required_recovery,253300,m1154_policy_actor,m2523_m1154_policy_actor_drift_required_recovery_seed_253300,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253300,m2523_drift_required_recovery_seed_253300,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,True,-6.1702603590946214,2.404871087966205,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,drift_required_recovery,253301,m1154_policy_actor,m2523_m1154_policy_actor_drift_required_recovery_seed_253301,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253301,m2523_drift_required_recovery_seed_253301,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.590616816392739,4.252161508214314,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,drift_required_recovery,253302,m1154_policy_actor,m2523_m1154_policy_actor_drift_required_recovery_seed_253302,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253302,m2523_drift_required_recovery_seed_253302,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.450429661674827,3.8263960874868035,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,drift_required_recovery,253303,m1154_policy_actor,m2523_m1154_policy_actor_drift_required_recovery_seed_253303,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253303,m2523_drift_required_recovery_seed_253303,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,True,-6.3522137056298575,3.632985997142665,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,drift_required_recovery,253304,m1154_policy_actor,m2523_m1154_policy_actor_drift_required_recovery_seed_253304,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253304,m2523_drift_required_recovery_seed_253304,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.556293726249654,3.067044681020128,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,stable_aes,252300,m1154_policy_actor,m2523_m1154_policy_actor_stable_aes_seed_252300,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,m2523_stable_aes_seed_252300,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.5687640785122285,7.144184295653851,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,stable_aes,252301,m1154_policy_actor,m2523_m1154_policy_actor_stable_aes_seed_252301,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,m2523_stable_aes_seed_252301,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.47203464782976,6.244219707763879,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,stable_aes,252302,m1154_policy_actor,m2523_m1154_policy_actor_stable_aes_seed_252302,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,m2523_stable_aes_seed_252302,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-7.353785127742945,6.298447120350238,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,stable_aes,252303,m1154_policy_actor,m2523_m1154_policy_actor_stable_aes_seed_252303,hf0_four_wheel_stable_aes_fixture_fresh_seed_252303,m2523_stable_aes_seed_252303,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.308759746123833,6.938917216739946,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
road_boundary_primary,primary_protected,stable_aes,252304,m1154_policy_actor,m2523_m1154_policy_actor_stable_aes_seed_252304,hf0_four_wheel_stable_aes_fixture_fresh_seed_252304,m2523_stable_aes_seed_252304,road_departure_and_command_conflict,minimum_road_margin_m;road_departure_event;simultaneous_throttle_brake_fraction,collision_event_not_regressed;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,True,False,-6.416954795871682,5.6852375905530685,0.0,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
mitigation_primary,primary_protected,unavoidable_mitigation,254300,m1154_policy_actor,m2523_m1154_policy_actor_unavoidable_mitigation_seed_254300,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254300,m2523_unavoidable_mitigation_seed_254300,collision_road_departure_and_command_conflict,severity_proxy;minimum_road_margin_m;simultaneous_throttle_brake_fraction,no_success_verdict_field;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,True,True,-2.076403513137502,-1.891030805999451,11.802698143945786,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
mitigation_primary,primary_protected,unavoidable_mitigation,254301,m1154_policy_actor,m2523_m1154_policy_actor_unavoidable_mitigation_seed_254301,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254301,m2523_unavoidable_mitigation_seed_254301,collision_road_departure_and_command_conflict,severity_proxy;minimum_road_margin_m;simultaneous_throttle_brake_fraction,no_success_verdict_field;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,True,True,-2.6227289422558244,-1.3263776047764986,8.696986857259,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
mitigation_primary,primary_protected,unavoidable_mitigation,254302,m1154_policy_actor,m2523_m1154_policy_actor_unavoidable_mitigation_seed_254302,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254302,m2523_unavoidable_mitigation_seed_254302,collision_road_departure_and_command_conflict,severity_proxy;minimum_road_margin_m;simultaneous_throttle_brake_fraction,no_success_verdict_field;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,True,True,-2.6177306706000247,-0.5587157753368,3.591680386980394,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
mitigation_primary,primary_protected,unavoidable_mitigation,254303,m1154_policy_actor,m2523_m1154_policy_actor_unavoidable_mitigation_seed_254303,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254303,m2523_unavoidable_mitigation_seed_254303,collision_road_departure_and_command_conflict,severity_proxy;minimum_road_margin_m;simultaneous_throttle_brake_fraction,no_success_verdict_field;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,True,True,-2.074135921717621,-0.8590432620419216,5.2846507839390355,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
mitigation_primary,primary_protected,unavoidable_mitigation,254304,m1154_policy_actor,m2523_m1154_policy_actor_unavoidable_mitigation_seed_254304,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254304,m2523_unavoidable_mitigation_seed_254304,collision_road_departure_and_command_conflict,severity_proxy;minimum_road_margin_m;simultaneous_throttle_brake_fraction,no_success_verdict_field;actor_contract_72_3,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,True,True,-2.802054337727328,-1.4765092764751193,9.023412262475535,1.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,drift_required_recovery,253300,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_drift_required_recovery_seed_253300,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253300,m2523_drift_required_recovery_seed_253300,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,False,1.6297400372145763,-1.5013043270779347,3.8900860866604225,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,drift_required_recovery,253301,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_drift_required_recovery_seed_253301,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253301,m2523_drift_required_recovery_seed_253301,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,False,1.3499777974799823,-1.0997559195185767,1.9465830321610582,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,drift_required_recovery,253302,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_drift_required_recovery_seed_253302,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253302,m2523_drift_required_recovery_seed_253302,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,False,1.5377571863244013,-0.4020671497286554,1.3159597728783987,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,drift_required_recovery,253303,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_drift_required_recovery_seed_253303,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253303,m2523_drift_required_recovery_seed_253303,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,False,1.7957582918524513,-0.5392791849290548,1.7806773119038322,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,drift_required_recovery,253304,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_drift_required_recovery_seed_253304,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253304,m2523_drift_required_recovery_seed_253304,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,False,1.4369363955960022,-1.6582120751011695,4.718500830107327,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,stable_aes,252300,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_stable_aes_seed_252300,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,m2523_stable_aes_seed_252300,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,False,False,2.055243150870212,2.1538372674175403,0.0,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,stable_aes,252301,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_stable_aes_seed_252301,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,m2523_stable_aes_seed_252301,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,False,False,1.908443918498695,0.5323068365988295,0.0,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,stable_aes,252302,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_stable_aes_seed_252302,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,m2523_stable_aes_seed_252302,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,False,False,1.901860946459826,0.009419009979211523,0.0,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,stable_aes,252303,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_stable_aes_seed_252303,hf0_four_wheel_stable_aes_fixture_fresh_seed_252303,m2523_stable_aes_seed_252303,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,False,False,1.8526498706272787,2.470230604454238,0.0,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,stable_aes,252304,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_stable_aes_seed_252304,hf0_four_wheel_stable_aes_fixture_fresh_seed_252304,m2523_stable_aes_seed_252304,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,False,False,False,2.035773867950662,0.9689222154126607,0.0,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,unavoidable_mitigation,254300,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_unavoidable_mitigation_seed_254300,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254300,m2523_unavoidable_mitigation_seed_254300,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.44481480648373,-0.3536873663737019,1.6266160599372896,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
reference_straight_full_brake_open_loop,reference_context,unavoidable_mitigation,254301,straight_full_brake_open_loop,m2523_straight_full_brake_open_loop_unavoidable_mitigation_seed_254301,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_254301,m2523_unavoidable_mitigation_seed_254301,reference_context,context_metric_only,not_ranking_or_winner,runs/m2523_engineering_controller_source_only_fresh_seed_measured_behavior_panel/measured_behavior_rows.csv,True,False,True,1.4564096816510932,-0.9584775707603608,4.345713826179067,0.0,False,"intervention planning only; not ranking, success-rate, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
