row_id,source_index,step_index,branch,weight,target,physical_pair_key,left_seed,right_seed,left_step,right_step,reference_steer,reference_throttle,reference_brake
16,0,38,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6407477259635925,-0.01906733028590679,0.08629345148801804
16,0,39,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6392757892608643,-0.018206164240837097,0.08592704683542252
16,0,40,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6378405690193176,-0.017545120790600777,0.08539323508739471
16,0,41,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6364463567733765,-0.01708308607339859,0.08469658344984055
16,0,42,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6350971460342407,-0.016816461458802223,0.08384422957897186
16,0,43,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6337960958480835,-0.016739502549171448,0.08284501731395721
16,0,44,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6325460076332092,-0.016843484714627266,0.0817103236913681
16,0,45,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6313492059707642,-0.017117436975240707,0.08045339584350586
16,0,46,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6302070617675781,-0.017548220232129097,0.07908906787633896
16,0,47,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6291204690933228,-0.018120361492037773,0.07763378322124481
16,0,48,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6280899047851562,-0.01881675235927105,0.07610464096069336
16,0,49,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6271152496337891,-0.019619032740592957,0.07451950758695602
16,0,50,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6261955499649048,-0.020507797598838806,0.07289627194404602
16,0,51,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6253300309181213,-0.021463166922330856,0.07125252485275269
16,0,52,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.624517023563385,-0.022464876994490623,0.06960494816303253
16,0,53,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.623754620552063,-0.02349364571273327,0.06796932220458984
16,0,54,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6230406761169434,-0.024530673399567604,0.06635978072881699
16,0,55,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6223723888397217,-0.02555832825601101,0.0647890642285347
16,0,56,normal,10.0,future_braking_deceleration,9530:6:9550:6,9530,9550,6,6,0.6217472553253174,-0.0265605840831995,0.0632677674293518
