track_width_scale,finish_variant,max_steps_scale,episode_count,success_obstacle_pass_rate,collision_failure_rate,off_track_noncollision_noncompletion_rate,max_steps_noncompletion_rate,safe_noncollision_noncompletion_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,all_selected_metrics_finite,diagnostic_only_no_ranking_claim
1.0,original,1.0,72,0.041666666666666664,0.05555555555555555,0.9027777777777778,0.0,0.0,10.308034434956312,0.7894861022860616,21.040057074901622,70.18055555555556,True,True
1.0,original,1.5,72,0.05555555555555555,0.013888888888888888,0.9305555555555556,0.0,0.0,12.524860887425682,2.9428022051390963,22.629522942244453,72.56944444444444,True,True
1.0,relaxed,1.0,72,0.041666666666666664,0.05555555555555555,0.9027777777777778,0.0,0.0,11.566482563261452,0.5315588029796434,22.309813596467027,70.23611111111111,True,True
1.0,relaxed,1.5,72,0.05555555555555555,0.06944444444444445,0.875,0.0,0.0,10.013348214710557,1.0280994902095222,22.593040335196697,73.02777777777777,True,True
1.5,original,1.0,72,0.09722222222222222,0.09722222222222222,0.8055555555555556,0.0,0.0,7.6457546156701,0.12459916172847382,18.44256862886557,84.41666666666667,True,True
1.5,original,1.5,72,0.041666666666666664,0.08333333333333333,0.875,0.0,0.0,9.649859980505681,0.6814055887883855,20.19744227574196,86.79166666666667,True,True
1.5,relaxed,1.0,72,0.09722222222222222,0.08333333333333333,0.8194444444444444,0.0,0.0,8.62680701482372,0.35645261894453234,18.428081429059503,87.54166666666667,True,True
1.5,relaxed,1.5,72,0.1388888888888889,0.08333333333333333,0.7777777777777778,0.0,0.0,7.848245915199775,0.5820930814478558,22.016129754434903,85.13888888888889,True,True
2.0,original,1.0,72,0.19444444444444445,0.06944444444444445,0.7361111111111112,0.0,0.0,7.375440444983351,0.4328897469396727,24.707292952679595,100.51388888888889,True,True
2.0,original,1.5,72,0.20833333333333334,0.09722222222222222,0.6944444444444444,0.0,0.0,7.83481783629011,0.04911958580956527,18.654537442532387,103.875,True,True
2.0,relaxed,1.0,72,0.1388888888888889,0.041666666666666664,0.8194444444444444,0.0,0.0,6.8407247546773,0.9623778565479589,13.189961862825903,100.88888888888889,True,True
2.0,relaxed,1.5,72,0.1527777777777778,0.041666666666666664,0.8055555555555556,0.0,0.0,7.464593053047731,1.454939612047917,17.009898008873186,101.06944444444444,True,True
