profile_name,episode_count,success_obstacle_pass_rate,collision_failure_rate,off_track_noncollision_noncompletion_rate,max_steps_noncompletion_rate,safe_noncollision_noncompletion_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,all_selected_metrics_finite,diagnostic_only_no_ranking_claim
L0_current_masked,72,0.08333333333333333,0.2777777777777778,0.6388888888888888,0.0,0.0,5.688509394572794,-0.1053113379324448,26.14398759037868,98.26388888888889,True,True
L1_one_step,72,0.09722222222222222,0.3055555555555556,0.5972222222222222,0.0,0.0,5.661227039625977,-0.08743384723568715,25.500498831471678,100.58333333333333,True,True
L2_window_100,72,0.0,0.013888888888888888,0.9861111111111112,0.0,0.0,9.070079675964697,1.5078023554460707,8.840883869003683,79.04166666666667,True,True
L2_window_100_current_tiled,72,0.0,0.0,1.0,0.0,0.0,11.605246076722077,1.9968021486884233,4.419844697418888,77.04166666666667,True,True
L2_window_13,72,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,10.678503977606233,1.1788764268292728,9.026937255833271,79.80555555555556,True,True
L2_window_13_current_tiled,72,0.0,0.013888888888888888,0.9861111111111112,0.0,0.0,9.734714125994211,1.4459469619091023,7.500829833874554,79.22222222222223,True,True
L2_window_25,72,0.0,0.013888888888888888,0.9861111111111112,0.0,0.0,10.989589708690744,1.9635968729654412,6.538725239411081,79.36111111111111,True,True
L2_window_25_current_tiled,72,0.0,0.0,1.0,0.0,0.0,9.790842756915648,2.010046429699748,8.475869790095603,79.13888888888889,True,True
L2_window_50,72,0.0,0.0,1.0,0.0,0.0,10.268509610922724,1.771242141918921,7.186529805210309,80.18055555555556,True,True
L2_window_50_current_tiled,72,0.0,0.0,1.0,0.0,0.0,11.497925381868486,3.2903024322334176,7.712719743440321,80.20833333333333,True,True
L3_online_gru,72,0.6111111111111112,0.05555555555555555,0.3333333333333333,0.0,0.0,6.640018781900056,0.46422626524094246,70.36789132595693,102.18055555555556,True,True
L3_reset_control_corrected,72,0.4722222222222222,0.06944444444444445,0.4583333333333333,0.0,0.0,6.073803184768116,0.5830381921964032,59.503628321727824,101.22222222222223,True,True
