candidate,alpha,weighted_total_loss,weighted_normal_sequence_nll,weighted_temporal_preference_loss,weighted_base_logp_anchor,weighted_logp_gap_mean,temporal_logp_gap_p10,temporal_logp_gap_p50,temporal_logp_gap_p90,candidate_action_l2_mean,candidate_action_l2_max,total_loss_improvement,normal_nll_regression,pref_loss_regression,gap_regression,gap_p10_regression,total_loss_pass,normal_nll_pass,pref_loss_pass,gap_pass,gap_p10_pass,action_mean_pass,action_max_pass,exact_gate_pass,rank,source_label,source_checkpoint,candidate_label,checkpoint,actor_inputs_changed,changed_parameter_count,changed_parameter_names,exact_m297_loss,exact_m270_loss,exact_m297_delta_vs_base,exact_m270_delta_vs_base,exact_m297_no_regression,exact_m270_no_regression,m297_m270_exact_pass,movement_retained_pass,base_m297_loss,base_m270_loss,eligible_for_first_replay
m1031_raw_row16x4_s40_a0_6,0.6,-0.883107928916676,-1.371491422971736,0.4883829211808458,2.29149685716712e-06,0.6511618472623375,0.05911870673298836,0.43722760677337646,1.7628613710403442,0.015965723309655285,0.020283684134483337,0.0016950804156877775,0.0015224381666110176,-0.003218091456513028,-0.011055610419208994,-0.005137298256158822,True,True,True,True,True,False,True,False,11,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_6.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1888771057128906,0.6775723099708557,-0.00022172927856445312,-9.000301361083984e-06,True,True,True,True,1.189098834991455,0.6775813102722168,False
m1031_raw_row16x4_s40_a0_75,0.75,-0.8826293720755854,-1.3706868232079148,0.48805609963024865,5.4060083227322396e-06,0.6521984446944488,0.05987771973013878,0.44029858708381653,1.7659717798233032,0.019865270152753557,0.025330139324069023,0.001216523574597228,0.0023270379304323185,-0.003544913007110184,-0.012092207851320258,-0.005896311253309243,True,True,True,True,True,False,True,False,12,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_75.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1888246536254883,0.6775720119476318,-0.0002741813659667969,-9.298324584960938e-06,True,True,True,True,1.189098834991455,0.6775813102722168,False
m1031_raw_row16x4_s40_a1,1.0,-0.8814483854525564,-1.36896362916873,0.48751111737675457,1.6505357675765317e-05,0.6539294265786287,0.06063418835401535,0.4454634189605713,1.771166205406189,0.02637094224900658,0.03374244272708893,3.553695156821579e-05,0.00405023196961718,-0.0040898952606042704,-0.01382318973550023,-0.006652779877185815,False,True,True,True,True,False,True,False,13,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a1.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1887407302856445,0.6775733232498169,-0.0003581047058105469,-7.987022399902344e-06,True,True,True,True,1.189098834991455,0.6775813102722168,False
m1031_base_row16x4_s40_a0_05,0.05,-0.8832819875417284,-1.3729870269272155,0.4897050393788882,2.6395769323470728e-11,0.6469692282070415,0.05558246746659279,0.4251788258552551,1.7503684759140015,0.001314569201807987,0.002061518607661128,0.0018691390407401531,2.6834211131587793e-05,-0.001895973258470629,-0.006862991363912996,-0.001601058989763253,True,True,True,True,True,True,True,True,14,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_05.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890920400619507,0.677580714225769,-6.794929504394531e-06,-5.960464477539062e-07,True,True,True,False,1.189098834991455,0.6775813102722168,False
m1031_base_row16x4_s40_a0_1,0.1,-0.8832539899788937,-1.3729787345591586,0.489724744534616,1.8259579758328477e-10,0.6468958190461306,0.05558641999959946,0.4251888692378998,1.7502351999282837,0.00172839305611426,0.002224719850346446,0.0018411414779054835,3.5126579188471396e-05,-0.0018762681027428285,-0.006789582203002076,-0.001605011522769921,True,True,True,True,True,True,True,True,15,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_1.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890852451324463,0.6775803565979004,-1.3589859008789062e-05,-9.5367431640625e-07,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_base_row16x4_s40_a0_15,0.15,-0.8832226056722992,-1.372967109183846,0.48974450335256325,6.359345238067592e-10,0.6468222704839582,0.05559040606021881,0.4251990020275116,1.7501015663146973,0.0021983551194583216,0.002519917208701372,0.0018097571713109328,4.675195450110081e-05,-0.0018565092847955822,-0.006716033640829733,-0.0016089975833892753,True,True,True,True,True,True,True,True,16,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890785694122314,0.6775798797607422,-2.0265579223632812e-05,-1.430511474609375e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_base_row16x4_s40_a0_2,0.2,-0.8831880062073855,-1.3729521839559398,0.4897641773439078,1.6185857227359688e-09,0.6467490003323176,0.05559457093477249,0.4252096116542816,1.7499687671661377,0.0026979879526069766,0.003076728666201234,0.0017751577063972457,6.167718240734921e-05,-0.0018368352934510224,-0.00664276348918913,-0.0016131624579429557,True,True,True,True,True,True,True,True,17,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_2.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890716552734375,0.677579402923584,-2.7179718017578125e-05,-1.9073486328125e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_base_row16x4_s40_a0_25,0.25,-0.8831502051617581,-1.3729340123881437,0.4897838063706629,3.4228907212333315e-09,0.6466758978412556,0.05559893697500229,0.4252207279205322,1.749836802482605,0.003214391481117519,0.003713209880515933,0.0017373566607699065,7.984875020339288e-05,-0.0018172062666959587,-0.006569660998127058,-0.001617528498172753,True,True,True,True,True,True,True,True,18,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_25.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890649795532227,0.6775791049003601,-3.3855438232421875e-05,-2.205371856689453e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_base_row16x4_s40_a0_3,0.3,-0.883109110428233,-1.3729125383157006,0.4898034262832994,6.416672387610056e-09,0.646602830363089,0.05560344457626343,0.4252323508262634,1.7497049570083618,0.0037411044893513115,0.004354595206677914,0.0016962619272448132,0.00010132282264652126,-0.0017975863540594106,-0.0064965935199604585,-0.001622036099433892,True,True,True,True,True,True,True,True,19,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_3.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.1890583038330078,0.6775786876678467,-4.0531158447265625e-05,-2.6226043701171875e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_base_row16x4_s40_a0_35,0.35,-0.8830647630050573,-1.3728877843389928,0.489823018578058,1.1023510137606103e-08,0.6465298573243325,0.05560809373855591,0.4252440631389618,1.7495731115341187,0.004274348286553572,0.005046819802373648,0.0016519145040690963,0.00012607679935427996,-0.001777994059300847,-0.00642362048120404,-0.0016266852617263725,True,True,True,True,True,True,True,True,20,base_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/base_row16x4_s40/candidate_checkpoint.pt,m1031_base_row16x4_s40_a0_35,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_35.pt,False,4,actor_mean.bias;actor_mean.weight;response_context_fusion.0.bias;response_context_fusion.0.weight,1.189051628112793,0.6775782704353333,-4.7206878662109375e-05,-3.039836883544922e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
