key,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
active_diagnostic_warmup,468,0.01282051282051282,0.004273504273504274,20.39958203585062,20.25807746911186,80.49358974358974,True
actuator_delay_step,240,0.020833333333333332,0.0,16.857928883039314,21.830959905842032,79.6625,True
aeb_feasible,108,0.027777777777777776,0.009259259259259259,10.733651761570732,20.18796176425266,74.66666666666667,True
aes_feasible,96,0.0,0.0,17.22970859527986,18.530228645100376,74.42708333333333,True
capability_step_down,72,0.0,0.0,17.814247741668687,24.33409529220918,80.84722222222223,True
capability_step_up,168,0.023809523809523808,0.005952380952380952,18.433077566326062,23.92707315442647,81.61309523809524,True
curved_boundary_obstacle,72,0.027777777777777776,0.0,16.649772859184466,20.967827727516024,76.93055555555556,True
drift_required,72,0.041666666666666664,0.027777777777777776,12.801291711157052,18.34711435357014,75.30555555555556,True
late_reveal_boundary,36,0.027777777777777776,0.0,13.16644550388515,22.288733327723005,77.91666666666667,True
same_current_different_older_history,540,0.012962962962962963,0.003703703703703704,18.14408263233974,20.91975707126965,78.57407407407408,True
t5_boundary_axis_retarget,96,0.010416666666666666,0.0,15.821993348172313,18.569839696439786,76.875,True
t5_near_boundary_warmup,228,0.039473684210526314,0.013157894736842105,12.499589309085083,20.357466283850318,74.71052631578948,True
unavoidable,108,0.037037037037037035,0.027777777777777776,9.149341704450555,21.19327840382454,72.78703703703704,True
