key,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
L0_current_masked,192,0.005208333333333333,0.020833333333333332,14.194883164491515,23.89993915271135,91.25,True
L1_one_step,192,0.005208333333333333,0.020833333333333332,14.037004253624273,27.09747875768664,93.95833333333333,True
L2_window_100,192,0.0,0.0,19.377473712909868,13.345086467120232,68.890625,True
L2_window_100_current_tiled,192,0.0,0.0,17.81886154314216,13.01063901583717,69.16666666666667,True
L2_window_13,192,0.0,0.0,18.25292269351767,12.288013443804678,69.04166666666667,True
L2_window_13_current_tiled,192,0.0,0.005208333333333333,18.62281382124662,13.707044467129407,68.83333333333333,True
L2_window_25,192,0.0,0.0,18.83588330007099,12.676125337764319,68.26041666666667,True
L2_window_25_current_tiled,192,0.0,0.005208333333333333,17.847439337215636,13.051468003393621,69.875,True
L2_window_50,192,0.0,0.0,18.372106418371246,13.403677611613098,69.859375,True
L2_window_50_current_tiled,192,0.0,0.0,18.44884819917056,12.894838432810838,69.75,True
L3_online_gru,192,0.13541666666666666,0.015625,11.738238049101014,48.90759073446723,98.02604166666667,True
L3_reset_control_corrected,192,0.08854166666666667,0.005208333333333333,13.155590847198193,46.207867553312724,100.59895833333333,True
