key,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
actuator_delay_proxy,72,0.027777777777777776,0.0,15.964640989192848,20.477219307576956,79.68055555555556,True
actuator_delay_proxy+capability_step_proxy,168,0.017857142857142856,0.0,17.240766551830653,22.411134447955643,79.6547619047619,True
actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,108,0.037037037037037035,0.0,12.108994473090547,19.949027972342734,76.69444444444444,True
anchor_neighborhood,108,0.027777777777777776,0.009259259259259259,10.733651761570732,20.18796176425266,74.66666666666667,True
capability_step_proxy,72,0.0,0.0,17.814247741668687,24.33409529220918,80.84722222222223,True
capability_step_proxy+terminal_boundary_proxy+warmup_proxy,120,0.041666666666666664,0.025,12.851124661480164,20.72506076420715,72.925,True
capability_step_proxy+warmup_proxy,168,0.023809523809523808,0.005952380952380952,18.433077566326062,23.92707315442647,81.61309523809524,True
mitigation_isolation_check,108,0.037037037037037035,0.027777777777777776,9.149341704450555,21.19327840382454,72.78703703703704,True
offtrack_boundary_relief,96,0.0,0.0,17.22970859527986,18.530228645100376,74.42708333333333,True
same_current_brake_authority_older_history_proxy,60,0.03333333333333333,0.0,14.267769228419299,23.303522144398848,77.85,True
same_current_drive_brake_asymmetry_older_history_proxy,60,0.0,0.0,18.85087022946764,20.596922184265186,81.26666666666667,True
same_current_mixed_authority_older_history_proxy,156,0.02564102564102564,0.01282051282051282,13.26092725855464,21.571907093545015,75.7948717948718,True
same_current_rear_lateral_authority_older_history_proxy,96,0.0,0.0,23.52386880350944,19.649498108754532,80.02083333333333,True
same_current_steer_lag_older_history_proxy,84,0.011904761904761904,0.0,19.56938751384387,20.41540680699392,79.23809523809524,True
same_current_yaw_authority_older_history_proxy,84,0.0,0.0,21.903114825665813,20.192603118390725,80.01190476190476,True
success_stabilizer,72,0.041666666666666664,0.027777777777777776,12.801291711157052,18.34711435357014,75.30555555555556,True
terminal_boundary_proxy,108,0.027777777777777776,0.0,15.488663740751358,21.40812959425168,77.25925925925925,True
terminal_boundary_proxy+warmup_proxy,96,0.010416666666666666,0.0,15.821993348172313,18.569839696439786,76.875,True
warmup_brake_authority_proxy,48,0.020833333333333332,0.0,18.93946978751376,20.78257356706914,82.25,True
warmup_mixed_authority_proxy,84,0.023809523809523808,0.0,25.04349364888274,19.27784511193226,86.02380952380952,True
warmup_rear_lateral_authority_proxy,84,0.011904761904761904,0.0,19.849024097890226,20.65703777226307,80.52380952380952,True
warmup_steer_lag_proxy,144,0.0,0.0,20.671768930354883,20.37269946125668,80.27777777777777,True
warmup_terminal_boundary_recovery_proxy,48,0.020833333333333332,0.041666666666666664,14.797812035503382,20.86833825263321,75.29166666666667,True
warmup_yaw_authority_proxy,60,0.016666666666666666,0.0,19.665144142887268,19.88896005842115,75.98333333333333,True
