policy,mu_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,low,12,40.517038504917736,0.25,0.75,0.5433949935110787,1.0142729304739102,0.21576328363041217,0.05026034950544587,0.0,13.629815904466525,0.0115606285398826,0.75,0.25,1.900911163619762,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.2113688340612944,-0.27208163635123017
heuristic,medium,32,35.073427514163726,0.21875,0.78125,0.5360692659076771,1.0167832655926612,0.14823593441581792,0.030340489773929998,0.0,13.831694073505934,0.007522035426518414,0.78125,0.21875,1.6833969260082253,1.0,,0.47640473981011805,0.7920644401668309,1.6624057029878319,0.020991223020393378,-0.2907528358022877
heuristic,high,36,46.78157359778454,0.3333333333333333,0.6666666666666666,0.5523066008794638,0.9889781634400594,0.1704365791546979,0.034869616170874106,0.0,13.489540143969712,0.007359703071415424,0.6666666666666666,0.3333333333333333,1.9675104452499346,1.0,,0.8000107606493485,1.1395938985083103,1.721199373938118,0.24631107131181684,-0.30970103790938364
m290x64_a500,low,12,58.84252947552955,0.6666666666666666,0.3333333333333333,0.5164227464804264,0.90495567635549,0.24844827760487775,0.2434097011501886,0.05975052370976957,12.30087317648899,0.01926299623058488,0.3333333333333333,0.6666666666666666,2.4928329011818033,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.8032905716233355,-0.03198829417576232
m290x64_a500,medium,31,70.33359610053134,0.8709677419354839,0.12903225806451613,0.6502633780875541,1.4585184396853612,0.13177011032236888,0.0685173670142135,0.002932551319648094,12.554619889371919,0.019762849014612935,0.12903225806451613,0.8709677419354839,2.994625763333707,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3415805435506858,-0.1469953521403926
m290x64_a500,high,37,65.17596182969123,0.918918918918919,0.08108108108108109,1.627440473454104,3.657949785839617,0.15574384467180424,0.053321532324774094,0.0,11.88872237860582,0.023611075068647798,0.08108108108108109,0.918918918918919,4.350778366749998,1.0,,0.8000107606493485,1.1395938985083103,1.7274529228137623,2.623325443936237,-0.04297351819101225
m298pref_a020,low,12,58.84998102636076,0.6666666666666666,0.3333333333333333,0.5164182475838731,0.9050024218371409,0.24842362115462915,0.24354398260987856,0.05975052370976957,12.302014367598254,0.01930471699840079,0.3333333333333333,0.6666666666666666,2.492728169444122,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.8031858398856544,-0.03232594052434812
m298pref_a020,medium,31,70.32047826074603,0.8709677419354839,0.12903225806451613,0.6496391788465528,1.4568065085080295,0.13175324004710648,0.06863724321373572,0.002932551319648094,12.556514442692876,0.019797937824360786,0.12903225806451613,0.8709677419354839,2.9944529498209937,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3414077300379719,-0.14766060024390537
m298pref_a020,high,37,65.18392333666097,0.918918918918919,0.08108108108108109,1.627766203039759,3.658812785923699,0.15574886035810423,0.053330417879347815,0.0,11.890846068886795,0.023636355039638443,0.08108108108108109,0.918918918918919,4.350290078532409,1.0,,0.8000107606493485,1.1395938985083103,1.7274529228137623,2.6228371557186465,-0.04317909412049614
m298pref_a020_reset,low,12,66.6129957792347,0.75,0.25,0.5334801856992195,0.9526662330657292,0.2123885214871922,0.050628475017095144,0.0,12.319768847257095,0.00823618935343499,0.25,0.75,2.657645752336819,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.9681034227783515,-0.08232930339011935
m298pref_a020_reset,medium,31,69.17500185002778,0.8709677419354839,0.12903225806451613,0.6373450743234094,1.4156383411252873,0.13694042483606725,0.04230604020534433,0.0,12.329956312923208,0.008269169127508517,0.12903225806451613,0.8709677419354839,2.955061999539638,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3020167797566162,-0.16880435074841538
m298pref_a020_reset,high,37,59.5691479716566,0.8648648648648649,0.13513513513513514,1.7487072002636193,3.899747964357609,0.15240910559196807,0.06170082469871673,0.0,11.434738086485368,0.01288520432756962,0.08108108108108109,0.8648648648648649,4.324440755489993,1.0,,0.8000107606493485,1.1395938985083103,1.7274529228137623,2.596987832676231,-0.04035117928601428
m298pref_a020_zero_all,low,12,62.91257368531006,0.75,0.25,0.5142171456669039,0.9370430178751565,0.2527151325646946,0.19899885387201208,0.04956896551724138,12.062727071323181,0.010195071440345297,0.25,0.75,2.487974533481386,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.7984322039229186,-0.060434767492493435
m298pref_a020_zero_all,medium,31,69.73137592460462,0.8709677419354839,0.12903225806451613,0.6810752571258957,1.5197253698317033,0.13461659672076812,0.06644971574228954,0.0,12.009334495637455,0.010228401410483545,0.12903225806451613,0.8709677419354839,2.991329598138939,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.338284378355918,-0.1433830590576204
m298pref_a020_zero_all,high,37,53.684433957262215,0.7567567567567568,0.24324324324324326,1.8618523356622847,4.130396687768327,0.14778906973804745,0.07219449141812011,0.0,11.091896561504024,0.013174470287521143,0.08108108108108109,0.7567567567567568,4.393444408121676,1.0,,0.8000107606493485,1.1395938985083103,1.7274529228137623,2.665991485307913,-0.05418662669472418
random,low,12,29.843420862371982,0.16666666666666666,0.8333333333333334,0.9142487017375114,1.8693394773459886,0.21634945461015065,0.12967721898397683,0.03627450980392157,13.356514008753145,1.3157241642475128,0.75,0.16666666666666666,1.7205139801330038,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.03097165057453612,-0.25230976817079376
random,medium,31,24.888074182714554,0.16129032258064516,0.8387096774193549,1.0755725899956665,2.2745244977363983,0.1454587791669184,0.0349493467904975,0.0,13.611613795118458,1.2950426763103855,0.8064516129032258,0.16129032258064516,1.6623941832393985,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,0.009348963456376877,-0.23391126621980507
random,high,37,34.82300232958422,0.24324324324324326,0.7567567567567568,0.9819463328150149,1.9583048752847296,0.1641203472740198,0.04508433534439717,0.0,13.25770395845736,1.3196872118357066,0.7567567567567568,0.24324324324324326,1.8555259460803883,1.0,,0.8000107606493485,1.1395938985083103,1.7274529228137623,0.12807302326662628,-0.2727275762018371
