policy,initial_mu_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,low,35,58.12591670413988,0.37142857142857144,0.6285714285714286,0.6350410476156345,1.2878771918014746,0.16726049483809458,0.0377940587553496,0.0,13.491269920354275,0.007583123229310981,0.6285714285714286,0.37142857142857144,1.9708642908661094,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,0.3057697769629153,-0.27208163635123017
heuristic,medium,45,27.96186016416888,0.2,0.8,0.4740346088064911,0.7830189296765023,0.1692068630023763,0.03347853316767427,0.0,13.768911092806626,0.008421614970494476,0.8,0.2,1.745105809875204,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,0.03052003375358874,-0.30970103790938364
m290x64_a500,low,35,77.46499151335453,0.9714285714285714,0.02857142857142857,1.3483426665703637,3.040949338616164,0.17088715778739708,0.10571027010263238,0.020485893843349565,11.70242010332908,0.019133809860795735,0.02857142857142857,0.9714285714285714,4.382601214179758,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,2.717506700276564,-0.042528704432458486
m290x64_a500,medium,45,57.48194927897762,0.7777777777777778,0.2222222222222222,0.875078708140409,1.8885434438002702,0.15217165514555175,0.07373315630371977,0.00202020202020202,12.602260424006552,0.023282904591825273,0.2222222222222222,0.7777777777777778,2.8963366789107776,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,1.1817509027891626,-0.1469953521403926
m298pref_a020,low,35,77.45273008306656,0.9714285714285714,0.02857142857142857,1.3479686077333464,3.039916857922919,0.17088737203948404,0.10572664310050069,0.020485893843349565,11.704682593180111,0.019161120442939657,0.02857142857142857,0.9714285714285714,4.38218342547376,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,2.7170889115705643,-0.042680447805624855
m298pref_a020,medium,45,57.49098242107961,0.7777777777777778,0.2222222222222222,0.8752062612678572,1.8888891972815405,0.1521574157151948,0.07384611742139321,0.00202020202020202,12.60385630938146,0.02331774661110507,0.2222222222222222,0.7777777777777778,2.896113166486618,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,1.1815273903650032,-0.14766060024390537
m298pref_a020_reset,low,35,73.73306643361394,0.9142857142857143,0.08571428571428572,1.4473615711551189,3.2433152819695232,0.154155873482356,0.05612071847498136,0.0,11.468031158846834,0.00997565522390817,0.02857142857142857,0.9142857142857143,4.403596015704184,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,2.7385015018009895,-0.002918831386456322
m298pref_a020_reset,medium,45,57.04849236614408,0.8,0.2,0.8934215767053574,1.913142737421575,0.15638881695077225,0.04972742919553305,0.0,12.26155756684498,0.010728514277272755,0.2,0.8,2.875047075938976,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,1.160461299817361,-0.16880435074841538
m298pref_a020_zero_all,low,35,67.40700162957829,0.8,0.2,1.5321140352768776,3.430045108859993,0.1657844141707153,0.1182469715291786,0.016995073891625617,11.077444990700805,0.010896805959886739,0.02857142857142857,0.8,4.411443367023247,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,2.7463488531200517,-0.05418662669472418
m298pref_a020_zero_all,medium,45,56.5267230504428,0.8,0.2,0.9455218645270983,2.025091140369178,0.15269860385450817,0.0662328802983181,0.0,11.994037607150224,0.012121966512252887,0.2,0.8,2.905418604417158,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,1.1908328282955434,-0.1433830590576204
random,low,35,41.20794534528419,0.22857142857142856,0.7714285714285715,1.2161831775898124,2.5670449486074056,0.1636154831872508,0.07176313725099982,0.012436974789915966,13.142865988208257,1.3153935296194894,0.7428571428571429,0.22857142857142856,1.8159158876411248,1.0,,0.3080938175562572,1.1395938985083103,1.6650945139031943,0.15082137373793045,-0.2727275762018371
random,medium,45,21.684985536050768,0.17777777777777778,0.8222222222222222,0.8462075068717313,1.6789564520501339,0.16558503437958297,0.039910377383796575,0.0,13.617176280652075,1.3049925830629137,0.8,0.17777777777777778,1.7172842528789423,1.0,,0.30950102375816546,1.1379160532600887,1.714585776121615,0.0026984767573272023,-0.25230976817079376
