policy,checkpoint,row_id,target,physical_pair_key,left_seed,right_seed,left_step,right_step,relocated_obstacle_body_x,relocated_obstacle_body_y,relocated_obstacle_half_width,normal_success,wrong_history_success,success_drop,normal_margin,wrong_history_margin,margin_gap,normal_collision,normal_terminal_reason,normal_obstacle_completed,normal_return,normal_steps,normal_first_steer,normal_first_throttle,normal_first_brake,normal_first_action_distance,normal_trajectory_distance_mean,wrong_history_collision,wrong_history_terminal_reason,wrong_history_obstacle_completed,wrong_history_return,wrong_history_steps,wrong_history_first_steer,wrong_history_first_throttle,wrong_history_first_brake,wrong_history_first_action_distance,wrong_history_trajectory_distance_mean
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,0,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.39948764531693,-0.7749340750368936,1.559453908118444,True,False,True,0.010212575278345959,-0.00292427828791908,0.013136853566265039,False,obstacle_completed,True,52.0817491665738,46,0.6907123327255249,-0.2076985090970993,0.016473837196826935,0.0,0.0,True,collision,False,-2.714471040074006,30,0.660298764705658,-0.053753118962049484,0.0876716896891594,0.17231744527816772,0.0845360979437828
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,1,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.39948764531693,-0.7749340750368936,1.564453908118444,True,False,True,0.005215558908192364,-0.007905925823361581,0.013121484731553945,False,obstacle_completed,True,52.08220052708264,46,0.6905167698860168,-0.20766106247901917,0.016300970688462257,0.0,0.0,True,collision,False,-2.714608040627432,30,0.6601951122283936,-0.05379607155919075,0.0875605046749115,0.17225493490695953,0.08444702625274658
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,2,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035178893296212,-0.0847405149679847,0.7210400248311871,True,False,True,0.008689326992670443,-0.0048693317997043906,0.013558658792374834,False,obstacle_completed,True,68.65813400028301,54,0.7080281376838684,-0.19141621887683868,0.004835336934775114,0.0,0.0,True,collision,False,15.727935287085355,46,0.6882971525192261,-0.07945583015680313,0.0760715901851654,0.13416051864624023,0.052443914115428925
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,3,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035178893296212,-0.0847405149679847,0.7260400248311871,True,False,True,0.0036872783624684047,-0.00984745618044558,0.013534734542913984,False,obstacle_completed,True,68.66036159674172,54,0.7078129649162292,-0.1913537085056305,0.0047288257628679276,0.0,0.0,True,collision,False,15.728618786095549,46,0.6881387233734131,-0.07944242656230927,0.07596469670534134,0.13411100208759308,0.05236384645104408
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,4,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.1892756532468,-0.341786570668515,0.7210400248311871,True,False,True,0.008828098184897826,-0.0038954396696542215,0.012723537854552047,False,obstacle_completed,True,65.59723883379006,51,0.6964694261550903,-0.1586533933877945,0.019664233550429344,0.0,0.0,True,collision,False,12.643454075241785,43,0.6747769117355347,-0.040968481451272964,0.09027162194252014,0.13894498348236084,0.054001420736312866
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,5,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.1892756532468,-0.341786570668515,0.7260400248311871,True,False,True,0.003830069439420658,-0.00887146254591098,0.012701531985331638,False,obstacle_completed,True,65.59908540474578,51,0.696261465549469,-0.15863431990146637,0.019538233056664467,0.0,0.0,True,collision,False,12.643853524137814,43,0.6746357679367065,-0.04102753847837448,0.09013436734676361,0.13886266946792603,0.05392715707421303
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,6,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.34087406334244,-0.5754085155821249,0.7210400248311871,True,False,True,0.008891843494661655,-0.002577847788133969,0.011469691282795624,False,obstacle_completed,True,62.50684479512773,48,0.6873095035552979,-0.13207966089248657,0.03167041391134262,0.0,0.0,True,collision,False,9.515287478437866,40,0.6659339666366577,-0.019787171855568886,0.09589717537164688,0.13111671805381775,0.05398053675889969
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,7,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.34087406334244,-0.5754085155821249,0.7260400248311871,True,False,True,0.0038961660276655152,-0.007553653471936261,0.011449819499601777,False,obstacle_completed,True,62.50837623401873,48,0.6871097087860107,-0.13209514319896698,0.031530529260635376,0.0,0.0,True,collision,False,9.515488001303737,40,0.6658008098602295,-0.019890040159225464,0.09574595838785172,0.13102547824382782,0.053912676870822906
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,8,future_braking_deceleration,9530:18:9550:21,9530,9550,18,21,10.490437459027902,-0.7840872913253865,0.7260400248311871,True,False,True,0.0038872168238446303,-0.006198384843350668,0.010085601667195299,False,obstacle_completed,True,59.39416374730221,45,0.6807584762573242,-0.10673411190509796,0.04426882416009903,0.0,0.0,True,collision,False,6.359159342841398,37,0.6591459512710571,-0.0010515745962038636,0.10133002698421478,0.1220322921872139,0.05263401195406914
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,9,future_braking_deceleration,9530:15:9550:15,9530,9550,15,15,11.34087406334244,-0.5754085155821249,0.7260400248311871,True,False,True,0.0038961660276655152,-0.004310428301700364,0.00820659432936588,False,obstacle_completed,True,62.50837623401873,48,0.6871097087860107,-0.13209514319896698,0.031530529260635376,0.0,0.0,True,collision,False,9.385791174543272,40,0.6748027801513672,-0.049406860023736954,0.08625906705856323,0.09992009401321411,0.04343341663479805
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,10,future_braking_deceleration,9537:24:9561:24,9537,9561,24,24,7.858101589156976,-1.4737426373273388,2.048670036638494,True,False,True,0.0040481600144124386,-0.0037145601293397945,0.007762720143752233,False,obstacle_completed,True,51.260287880955495,44,0.6268959045410156,-0.10676442831754684,0.01233088318258524,0.0,0.0,True,collision,False,-4.484101951892779,29,0.6205191612243652,0.03619299456477165,0.08398620039224625,0.16003739833831787,0.09122879058122635
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,11,future_braking_deceleration,9530:12:9550:12,9530,9550,12,12,12.1892756532468,-0.341786570668515,0.7260400248311871,True,False,True,0.003830069439420658,-0.0041451500248783635,0.007975219464299022,False,obstacle_completed,True,65.59908540474578,51,0.696261465549469,-0.15863431990146637,0.019538233056664467,0.0,0.0,True,collision,False,12.457294181907791,43,0.689777135848999,-0.08972316235303879,0.07179947197437286,0.08672964572906494,0.04040593281388283
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,12,future_braking_deceleration,9530:18:9550:18,9530,9550,18,18,10.490437459027902,-0.7840872913253865,0.7260400248311871,True,False,True,0.0038872168238446303,-0.003952497964226254,0.007839714788070884,False,obstacle_completed,True,59.39416374730221,45,0.6807584762573242,-0.10673411190509796,0.04426882416009903,0.0,0.0,True,collision,False,6.267652018297547,37,0.664888858795166,-0.02005692571401596,0.09590060263872147,0.10213040560483932,0.0444737933576107
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,13,future_braking_deceleration,9530:9:9550:9,9530,9550,9,9,13.035178893296212,-0.0847405149679847,0.7260400248311871,True,False,True,0.0036872783624684047,-0.003389113763624385,0.00707639212609279,False,obstacle_completed,True,68.66036159674172,54,0.7078129649162292,-0.1913537085056305,0.0047288257628679276,0.0,0.0,True,collision,False,15.474870114178739,46,0.7096083164215088,-0.14749807119369507,0.04605298861861229,0.06028454750776291,0.03527642413973808
