candidate_id,intervention_condition_id,role_family,dynamics_axis,seed,step_index,steer,throttle,brake,physical_steer,physical_throttle,physical_brake,previous_steer_command,previous_throttle_command,previous_brake_command,actuator_steer_state,actuator_throttle_state,actuator_brake_state,vx_body,vy_body,yaw_rate,ax_body,ay_body,state_x,state_y,state_vx,state_vy,state_speed,state_yaw_rate,backend_status,trace_delta_proxy,command_response_proxy,finite_metric
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,0,0.9752507209777832,-1.0,1.0,0.9752507209777832,0.0,1.0,0.0,0.0,0.0,-0.00013795020822085792,0.0,0.0,7.0193468554856135,0.05695674696258782,0.0470298209949898,0.0,0.0,0.4286906036664623,-0.1125607238747289,6.985283221524295,0.12433529260706333,6.986389693532455,0.10018969527067029,running,1.9752507209777832,0.04702981933951378,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,1,0.9770610928535461,-1.0,1.0,0.9770610928535461,0.0,1.0,0.9752507209777832,0.0,1.0,0.11276527559823077,0.0,0.33333333333333337,6.985283221524295,0.12433529260706333,0.10018969527067029,-1.7031816980659364,3.3689272822237757,0.5678367568180934,-0.11084390277665153,6.92682888132931,0.1947531435596611,6.929566158003272,0.155014187071193,running,0.0018103718757629395,3.7763125896453857,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,2,0.9754320383071899,-1.0,1.0,0.9754320383071899,0.0,1.0,0.9770610928535461,0.0,1.0,0.2256685014046824,0.0,0.5555555555555557,6.92682888132931,0.1947531435596611,0.155014187071193,-2.9227170097492206,3.520892547629889,0.7056521658825062,-0.10738600096858388,6.851815601120467,0.25481524340994643,6.856552183133437,0.20077471624276072,running,0.0016290545463562012,4.578535556793213,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,3,0.9724979996681213,-1.0,1.0,0.9724979996681213,0.0,1.0,0.9754320383071899,0.0,1.0,0.33857172721113404,0.0,0.7037037037037037,6.851815601120467,0.25481524340994643,0.20077471624276072,-3.7506640104421507,3.003104992514266,0.8418395170714785,-0.10227786665599473,6.765124648537032,0.3043179653895144,6.77196581018408,0.23785465698154717,running,0.0029340386390686035,4.808994770050049,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,4,0.9679843187332153,-1.0,1.0,0.9679843187332153,0.0,1.0,0.9724979996681213,0.0,1.0,0.45147495301758567,0.0,0.8024691358024691,6.765124648537032,0.3043179653895144,0.23785465698154717,-4.334547629171759,2.4751360989783975,0.976182186598815,-0.09563563651830911,6.670016302889307,0.34408770784436943,6.678885672887262,0.26715054385706416,running,0.004513680934906006,4.997116565704346,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,5,0.9608635306358337,-1.0,1.0,0.9608635306358337,0.0,1.0,0.9679843187332153,0.0,1.0,0.5643781788240373,0.0,0.868312757201646,6.670016302889307,0.34408770784436943,0.26715054385706416,-4.755417282386265,1.9884871227427519,1.1085190337722017,-0.08758532350613403,6.568709043495941,0.3750251970905172,6.579405930367737,0.2894757029746446,running,0.007120788097381592,5.161341190338135,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,6,0.9497023820877075,-1.0,1.0,0.9497023820877075,0.0,1.0,0.9608635306358337,0.0,1.0,0.6772814046304889,0.0,0.9122085048010974,6.568709043495941,0.3750251970905172,0.2894757029746446,-5.065362969668286,1.5468744623073876,1.2387337709996873,-0.078248706324894,6.463315834719493,0.398964833275261,6.475617693898096,0.30634595035455636,running,0.01116114854812622,5.304198265075684,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,7,0.9347832202911377,-1.0,1.0,0.9347832202911377,0.0,1.0,0.9497023820877075,0.0,1.0,0.7680883971162284,0.0,0.9414723365340649,6.463315834719493,0.398964833275261,0.30634595035455636,-5.269660438822399,1.1969818092371909,1.3667505237767836,-0.0677229480567712,6.355612843043911,0.41830500031429696,6.369363679674183,0.31969005855920307,running,0.014919161796569824,5.412571907043457,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,8,0.9185926914215088,-1.0,1.0,0.9185926914215088,0.0,1.0,0.9347832202911377,0.0,1.0,0.8236533381745316,0.0,0.9609815576893765,6.355612843043911,0.41830500031429696,0.31969005855920307,-5.385149583779114,0.967008351951798,1.492522547444054,-0.056075803309323276,6.246640130237035,0.4347801289067037,6.2617526841276545,0.330865248450567,running,0.016190528869628906,5.480615139007568,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,9,0.9025309681892395,-1.0,1.0,0.9025309681892395,0.0,1.0,0.9185926914215088,0.0,1.0,0.8552997892568572,0.0,0.9739877051262511,6.246640130237035,0.4347801289067037,0.330865248450567,-5.448635640343813,0.823756429620337,1.6160202154764094,-0.04335335132581853,6.1370247290092,0.44958509008700004,6.153470506770873,0.3407872062141333,running,0.016061723232269287,5.520477771759033,True
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,normal_recurrent,stable_avoidable,fresh_nominal_or_role_default,264100,10,0.8872293829917908,-1.0,1.0,0.8872293829917908,0.0,1.0,0.9025309681892395,0.0,1.0,0.8710435155676514,0.0,0.9826584700841674,6.1370247290092,0.44958509008700004,0.3407872062141333,-5.480770061391738,0.7402480590148169,1.7372241312296788,-0.029586556817572995,6.027155785896666,0.46351595477665214,6.044952763074345,0.3500552253460431,running,0.01530158519744873,5.5410237312316895,True
