policy,target,rows,physical_pairs,normal_success_rate,wrong_history_success_rate,success_drop_count,success_drop_rate,normal_margin_mean,wrong_history_margin_mean,margin_gap_mean,margin_gap_min,margin_gap_max,wrong_first_action_distance_mean,wrong_trajectory_distance_mean
candidate_b_base,future_braking_deceleration,12,11,1.0,0.0,12,1.0,0.002124621780071778,-0.007498886560153813,0.009623508340225592,0.006399846914391549,0.013545913038802926,0.10298248411466678,0.047062280587852
candidate_b_base,future_lateral_accel_response,4,3,1.0,0.0,4,1.0,0.00313293976762824,-0.0064026105159190605,0.0095355502835473,0.007298856359075678,0.011519672356965271,0.08663208968937397,0.05629034526646137
candidate_b_base,future_yaw_response,1,1,1.0,0.0,1,1.0,0.003670586309822088,-0.0030582470015811936,0.006728833311403282,0.006728833311403282,0.006728833311403282,0.027247803285717964,0.02606905996799469
m1031_line_row16x4_s40_a0_6,future_braking_deceleration,12,11,0.08333333333333333,0.0,1,0.08333333333333333,-0.0022668585222876403,-0.012017213141893615,0.009750354619605975,0.006485296002312735,0.013706268309634728,0.10219217247019212,0.04697234028329452
m1031_line_row16x4_s40_a0_6,future_lateral_accel_response,4,3,0.25,0.0,1,0.25,-0.0011074329105320024,-0.010640834566727486,0.009533401656195484,0.007259838905300464,0.01157137834484323,0.07922798208892345,0.055833322927355766
m1031_line_row16x4_s40_a0_6,future_yaw_response,1,1,1.0,0.0,1,1.0,0.001145790984741879,-0.0055642148288646,0.006710005813606479,0.006710005813606479,0.006710005813606479,0.027343884110450745,0.026144910603761673
candidate_b_base,__all__,17,15,1.0,0.0,17,1.0,0.002452812161246846,-0.006979725163947246,0.009432537325194093,0.006399846914391549,0.013545913038802926,0.09468035125995383,0.04799869459341554
m1031_line_row16x4_s40_a0_6,__all__,17,15,0.17647058823529413,0.0,3,0.17647058823529413,-0.0017933084073434007,-0.011313771223441056,0.009520462816097655,0.006485296002312735,0.013706268309634728,0.09238599306520294,0.04783213445368935
