distribution,env_config,seed,policy_label,checkpoint,ablation,run_dir,episodes,success_rate,termination_rate,min_clearance_margin_mean,min_clearance_margin_min,return_mean,collision_rate,obstacle_completed_rate,truncated_rate
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9505_m399_base_none,80,0.8625,0.1375,1.8341798305426678,-0.14684178670660808,65.95097745425979,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8342136687114312,-0.14665555567553823,65.969823396026,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8330195164139809,-0.16913023785019132,64.05619146204212,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8517884102823197,-0.1444850091584633,61.09848019462608,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9506_m399_base_none,80,0.8625,0.1375,1.8515292357989324,-0.14684178670660808,66.22893708657178,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8515590371358506,-0.14665555567553823,66.24771118741401,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.849254313669792,-0.16913023785019132,64.34641804088797,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8695658170997533,-0.1444850091584633,61.362478961427335,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed103930_m399_base_none,80,0.8375,0.1625,1.75284582956732,-0.13071183513121198,66.88460961039978,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61045/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61045/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_none,80,0.8375,0.1625,1.752980528254739,-0.13076099431979893,66.87380144142374,0.1625,0.8375,0.8375
