profile_name,repair_source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L2_window_25_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,9,7,13,0.0,0.5625,0.4375,0.8125,0.9575710388433103,-5.457661066675053,19.4375,True,0,9,7,13,3,0
L2_window_25_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.120926696926883,4.052229137912561,16.625,True,0,0,8,8,0,0
L2_window_25_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,5,19,20,0.0,0.20833333333333334,0.7916666666666666,0.8333333333333334,9.781073399515131,0.31161767359623155,19.583333333333332,True,0,5,19,20,4,0
L2_window_50,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.908423463669024,3.7438846401300943,16.21875,True,0,0,32,32,0,0
L2_window_50,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,8,8,10,0.0,0.5,0.5,0.625,1.088996808347743,-5.220212321520998,19.4375,True,0,8,8,10,6,0
L2_window_50,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.500296518538512,3.7847887903179385,16.25,True,0,0,8,8,0,0
L2_window_50,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,4,20,21,0.0,0.16666666666666666,0.8333333333333334,0.875,9.735141298311156,0.8869061818994677,19.791666666666668,True,0,4,20,21,3,0
L2_window_50_current_tiled,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.84019375882491,3.7008031582120755,16.25,True,0,0,32,32,0,0
L2_window_50_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,8,8,10,0.0,0.5,0.5,0.625,1.0576817334219695,-4.716930662280019,19.3125,True,0,8,8,10,6,0
L2_window_50_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.794782951211616,4.119565245399945,15.875,True,0,0,8,8,0,0
L2_window_50_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,3,21,23,0.0,0.125,0.875,0.9583333333333334,9.712629289537084,1.267715771023968,19.791666666666668,True,0,3,21,23,1,0
L3_online_gru,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,41.54248753524092,8.639935818879284,17.75,True,0,0,32,32,0,0
L3_online_gru,mitigation_isolation_check,outcome_by_profile_source_kind,weak_support,16,3,12,1,2,0.1875,0.75,0.0625,0.125,0.2741842264050346,1.9555293950283603,22.0625,True,3,12,1,2,11,3
L3_online_gru,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.042195417662963,8.396077552939442,18.0,True,0,0,8,8,0,0
L3_online_gru,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,24,6,4,14,14,0.25,0.16666666666666666,0.5833333333333334,0.5833333333333334,7.355692194426582,14.79968370905405,25.416666666666668,True,6,4,14,14,4,6
L3_reset_control_corrected,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,41.51233831720118,8.551235430568223,17.90625,True,0,0,32,32,0,0
L3_reset_control_corrected,mitigation_isolation_check,outcome_by_profile_source_kind,weak_support,16,4,9,3,3,0.25,0.5625,0.1875,0.1875,0.32103106957006905,6.168622015747119,22.4375,True,4,9,3,3,9,4
L3_reset_control_corrected,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,14.81432247109622,9.826237898878523,18.375,True,0,0,8,8,0,0
L3_reset_control_corrected,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,24,8,3,13,13,0.3333333333333333,0.125,0.5416666666666666,0.5416666666666666,7.388811558255994,14.859632585977531,25.833333333333332,True,8,3,13,13,3,8
