slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_profile_source_kind,offtrack,24,0,4,20,0.16666666666666666,0.8333333333333334,no_support,L2_window_50,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,32,0,0,32,0.0,1.0,no_support,L2_window_50_current_tiled,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_50_current_tiled,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,24,0,3,21,0.125,0.875,no_support,L2_window_50_current_tiled,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,32,0,0,32,0.0,1.0,no_support,L3_online_gru,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,8,0,0,8,0.0,1.0,no_support,L3_online_gru,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,32,0,0,32,0.0,1.0,no_support,L3_reset_control_corrected,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,8,0,0,8,0.0,1.0,no_support,L3_reset_control_corrected,offtrack_boundary_relief,,,,
outcome_by_profile_parent_tier,offtrack,44,1,1,42,0.022727272727272728,0.9545454545454546,weak_support,L0_current_masked,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L0_current_masked,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,3,1,40,0.022727272727272728,0.9090909090909091,weak_support,L1_one_step,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L1_one_step,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,0,0,44,0.0,1.0,no_support,L2_window_100,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_100,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_100,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,0,1,43,0.022727272727272728,0.9772727272727273,no_support,L2_window_100_current_tiled,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_100_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_100_current_tiled,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,12,0,2,10,0.16666666666666666,0.8333333333333334,no_support,L2_window_13,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,offtrack,44,0,0,44,0.0,1.0,no_support,L2_window_13,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_13,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,12,0,2,10,0.16666666666666666,0.8333333333333334,no_support,L2_window_13_current_tiled,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,offtrack,44,0,1,43,0.022727272727272728,0.9772727272727273,no_support,L2_window_13_current_tiled,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_13_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_13_current_tiled,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,0,1,43,0.022727272727272728,0.9772727272727273,no_support,L2_window_25,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_25,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_25,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,0,1,43,0.022727272727272728,0.9772727272727273,no_support,L2_window_25_current_tiled,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_25_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_25_current_tiled,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,12,0,1,11,0.08333333333333333,0.9166666666666666,no_support,L2_window_50,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,offtrack,44,0,2,42,0.045454545454545456,0.9545454545454546,no_support,L2_window_50,,,tier_c_boundary_near_miss,,
