candidate_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
otsr_v0_0002_anchor_neighborhood,L2_window_100_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.09260795387693,5.952461894489774,17.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_13,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.03993625685998,1.8786494369297082,16.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_13_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.095715584916924,2.1212496808867893,17.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_25,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.03816536906275,2.8982716269811197,16.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_25_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.99821530360305,5.048304984302483,16.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_50,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.95663480361367,2.996797550746399,15.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L2_window_50_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.09192440400662,5.271534607331489,17.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L3_online_gru,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,39.574163420215704,10.639452911315221,19.0,True,0,0,1,1,0,0
otsr_v0_0002_anchor_neighborhood,L3_reset_control_corrected,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.407829532580166,8.695131983460593,18.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L0_current_masked,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.73596506766706,7.613597385129864,18.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L1_one_step,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.00084529307439,7.49335101179321,19.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_100,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.1428071125853,2.911631531306071,16.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_100_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.20793337958426,2.021427585608438,17.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_13,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.24475158452031,5.510921873850796,17.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_13_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.096618875667396,3.6272495447823108,16.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_25,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.140473553276934,2.2167055794316752,16.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_25_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.09963847674168,3.412012582260475,16.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_50,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.1501295284785,2.839275433243356,16.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L2_window_50_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.20021766525109,1.337147343616114,17.0,True,0,0,1,1,0,0
otsr_v0_0003_anchor_neighborhood,L3_online_gru,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.09674063195519,7.060419578971269,17.0,True,0,0,1,1,0,0
