profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite,recovery_success_rate,recovery_time_proxy_mean,controlled_drift_recovery_success_rate,drift_used_rate,impact_severity_proxy_mean,collision_mitigation_score_mean,max_off_track_overshoot_mean,off_track_severity_proxy_mean
L0_current_masked,18,0.1111111111111111,0.1111111111111111,7.200384557971806,0.008688451235647102,25.392408168084053,86.88888888888889,0.0015712238447223273,0.0,0.0,True,0.05555555555555555,0.0,0.05555555555555555,0.0,9.102052923566553,1.011339213729617,0.04775366939669586,0.04775366939669586
L1_one_step,18,0.05555555555555555,0.05555555555555555,8.405010551319991,0.3125025893827881,21.87247392180559,92.38888888888889,0.0015305079804319474,0.0,0.0,True,0.0,,0.0,0.0,8.315710800351326,0.46198393335285143,0.03461275144651389,0.03461275144651389
L2_window_100,18,0.0,0.0,17.126693176929038,9.408434056029229,10.067792129194778,64.27777777777777,0.0029495066393994624,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07299254124868426,0.07299254124868426
L2_window_100_current_tiled,18,0.0,0.0,13.05572953476095,5.490207221322997,15.112437406489631,65.0,0.0032972475617296165,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.08080091659614928,0.08080091659614928
L2_window_13,18,0.0,0.0,12.839540071863844,2.6323002577831076,14.222925711189696,64.44444444444444,0.0029588157000641027,0.0,0.0,True,0.0,,0.0,0.1111111111111111,,0.0,0.07479699453283789,0.07479699453283789
L2_window_13_current_tiled,18,0.0,0.0,10.724581364824898,4.6075491436930545,16.250297971251563,64.38888888888889,0.0033443980824409258,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07376094284958196,0.07376094284958196
L2_window_25,18,0.0,0.0,10.34790069913884,3.9544639907417447,11.474875759452686,64.77777777777777,0.002804766344423923,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.09068206187502151,0.09068206187502151
L2_window_25_current_tiled,18,0.0,0.0,13.607833137101247,5.634627849180677,14.973441172422351,65.22222222222223,0.0034251915446172156,0.0,0.0,True,0.0,,0.0,0.05555555555555555,,0.0,0.09930580791560335,0.09930580791560335
L2_window_50,18,0.0,0.0,13.597792456086813,4.928146067348889,10.757949701169432,67.05555555555556,0.002737521413817174,0.0,0.0,True,0.0,,0.0,0.0,,0.0,0.07956925459102848,0.07956925459102848
L2_window_50_current_tiled,18,0.0,0.0,13.672605889840405,4.882443527745583,15.230656529675185,62.333333333333336,0.0034924176935520438,0.0,0.0,True,0.0,,0.0,0.1111111111111111,,0.0,0.0836091942602884,0.0836091942602884
L3_online_gru,18,0.05555555555555555,0.0,8.721909528020396,1.585265861715407,42.99560450359138,90.72222222222223,0.0013454181801838179,0.0,0.0,True,0.0,,0.0,0.05555555555555555,,0.0,0.05709147496917863,0.05709147496917863
L3_reset_control_corrected,18,0.3888888888888889,0.0,6.8052453050815345,0.5020077833227685,54.553843954634765,94.55555555555556,0.0007794031148983373,0.0,0.0,True,0.16666666666666666,0.0,0.16666666666666666,0.05555555555555555,,0.0,0.03494317196627329,0.03494317196627329
