key,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
active_diagnostic_warmup,72,0.05555555555555555,0.0,11.57818834453252,22.907834850520715,72.875,True
actuator_delay_step,60,0.03333333333333333,0.0,13.032898443630392,22.046317428704135,74.35,True
aeb_feasible,12,0.0,0.08333333333333333,7.1762033543643,20.220229657425687,71.83333333333333,True
aes_feasible,12,0.0,0.0,11.508040952493014,19.299476995108147,66.5,True
capability_step_down,24,0.08333333333333333,0.0,12.975502023255054,23.635335557844503,78.5,True
capability_step_up,36,0.08333333333333333,0.0,11.654535871529601,25.874818810073286,74.36111111111111,True
curved_boundary_obstacle,12,0.08333333333333333,0.0,5.709996080718647,27.41449876956003,70.16666666666667,True
drift_required,12,0.08333333333333333,0.0,8.917060827965427,18.152852829107715,73.66666666666667,True
late_reveal_boundary,12,0.08333333333333333,0.0,7.443012902492527,21.907725759570695,68.91666666666667,True
same_current_different_older_history,72,0.027777777777777776,0.05555555555555555,12.15528554177827,19.82263077873323,74.66666666666667,True
t5_boundary_axis_retarget,24,0.0,0.041666666666666664,7.986472270144574,16.733233301727463,68.91666666666667,True
t5_near_boundary_warmup,72,0.027777777777777776,0.08333333333333333,7.983166606231786,20.781862502886952,67.88888888888889,True
unavoidable,12,0.16666666666666666,0.08333333333333333,5.997729657662821,23.765489038546892,65.83333333333333,True
