key,episode_count,success_rate,collision_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite
L0_current_masked,36,0.0,0.1111111111111111,6.818580813258323,24.933292478427763,82.47222222222223,True
L1_one_step,36,0.1111111111111111,0.05555555555555555,10.296073641771486,26.438911611831113,84.11111111111111,True
L2_window_100,36,0.0,0.0,12.25762731861656,13.231237226398049,66.0,True
L2_window_100_current_tiled,36,0.0,0.0,12.089087083201923,13.211498296307928,63.27777777777778,True
L2_window_13,36,0.0,0.0,11.499785207802143,13.930671795776759,65.91666666666667,True
L2_window_13_current_tiled,36,0.0,0.0,10.672310457471655,16.279035748717998,62.69444444444444,True
L2_window_25,36,0.0,0.0,9.910306386487147,16.050092748626916,66.19444444444444,True
L2_window_25_current_tiled,36,0.0,0.0,12.57933508359649,14.861668494694435,64.91666666666667,True
L2_window_50,36,0.0,0.0,11.282127052902304,14.8359788156776,64.33333333333333,True
L2_window_50_current_tiled,36,0.0,0.0,13.361446284098324,15.010133920424591,64.33333333333333,True
L3_online_gru,36,0.2222222222222222,0.1111111111111111,7.226319109428728,43.68009942623166,92.08333333333333,True
L3_reset_control_corrected,36,0.2222222222222222,0.08333333333333333,8.374979944862323,47.679853815234864,90.05555555555556,True
