policy,obstacle_label,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,aes_feasible,9,77.41519108253148,0.6666666666666666,0.3333333333333333,0.619698973208099,1.2777683289969504,0.19171600062025895,0.03600610516266491,0.0,14.404254379212517,0.009410343223458363,0.3333333333333333,0.6666666666666666,2.550048457984445,1.0,,0.3478806717182057,1.1379160532600887,1.5615812372866091,0.9884672206978359,-0.25133670445880996
heuristic,drift_required,46,48.27827034056795,0.32608695652173914,0.6739130434782609,0.6070242899586602,1.1404828246127403,0.17706072587113386,0.036787664326823406,0.0,13.786112121078796,0.007868083715236382,0.6739130434782609,0.32608695652173914,1.8195291639126645,1.0,,0.3080938175562572,1.1395938985083103,1.6997760125129893,0.11975315139967516,-0.30970103790938364
heuristic,unavoidable,25,11.721980624374943,0.0,1.0,0.3800389819419421,0.605958053079377,0.14258240374887837,0.030379985100062762,0.0,13.139474574699982,0.007820304897613824,1.0,0.0,1.6269429533962816,1.0,,0.3696623316774903,1.1266954544139025,1.7318272035345779,-0.10488425013829641,-0.22278039821041173
m290x64_a500,aes_feasible,9,84.01210264359081,1.0,0.0,1.3779600950131554,3.2451451466569137,0.17589616632376961,0.09420474013304457,0.010101010101010102,12.23543956219675,0.01680430816486478,0.0,1.0,5.441579093608134,1.0,,0.3478806717182057,1.1379160532600887,1.5615812372866091,3.879997856321525,1.9239582901904255
m290x64_a500,drift_required,46,73.39933209218992,0.9782608695652174,0.021739130434782608,1.2837346570260242,2.804068880997148,0.17139516599514684,0.10891750555124195,0.015587093141679017,12.24083243037823,0.020832378376761208,0.021739130434782608,0.9782608695652174,3.930034052157907,1.0,,0.3080938175562572,1.1395938985083103,1.6997760125129893,2.230258039644917,-0.028910432304787514
m290x64_a500,unavoidable,25,45.73612736573038,0.6,0.4,0.602334400501466,1.3056610618392726,0.13361460090437646,0.04498366825475804,0.0,12.205786906489466,0.02431014835834503,0.4,0.6,2.10687448884579,1.0,,0.3696623316774903,1.1266954544139025,1.7318272035345779,0.375047285311212,-0.1469953521403926
m298pref_a020,aes_feasible,9,84.01996355578741,1.0,0.0,1.3781561103876134,3.2456345292651525,0.17589093613883552,0.09421110455516891,0.010101010101010102,12.237179086335992,0.016827828095604975,0.0,1.0,5.441219979651196,1.0,,0.3478806717182057,1.1379160532600887,1.5615812372866091,3.879638742364586,1.9236552293392977
m298pref_a020,drift_required,46,73.39313527716992,0.9782608695652174,0.021739130434782608,1.283482676983467,2.8033791491715854,0.17138765568603764,0.1090168344539309,0.015587093141679017,12.24293040036397,0.020862519376627777,0.021739130434782608,0.9782608695652174,3.9296977233159853,1.0,,0.3080938175562572,1.1395938985083103,1.6997760125129893,2.2299217108029956,-0.029569698005341705
m298pref_a020,unavoidable,25,45.743373834501554,0.6,0.4,0.6024333670906942,1.3059163180306756,0.13360225702647285,0.04502458454251798,0.0,12.207288011678004,0.024346895031630993,0.4,0.6,2.106670323974575,1.0,,0.3696623316774903,1.1266954544139025,1.7318272035345779,0.37484312043999696,-0.14766060024390537
m298pref_a020_reset,aes_feasible,9,83.85785653287806,1.0,0.0,1.3444175909806968,3.1857244883932236,0.17666483517970416,0.05210437606603343,0.0,12.142417481682923,0.008450786350294948,0.0,1.0,5.352820039872815,1.0,,0.3478806717182057,1.1379160532600887,1.5615812372866091,3.7912388025862063,1.906795423855091
