policy,mu_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,low,12,40.517038504917736,0.25,0.75,0.5433949935110787,1.0142729304739102,0.21576328363041217,0.05026034950544587,0.0,13.629815904466525,0.0115606285398826,0.75,0.25,1.900911163619762,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.2113688340612944,-0.27208163635123017
heuristic,medium,32,35.073427514163726,0.21875,0.78125,0.5360692659076771,1.0167832655926612,0.14823593441581792,0.030340489773929998,0.0,13.831694073505934,0.007522035426518414,0.78125,0.21875,1.6833969260082253,1.0,,0.47640473981011805,0.7920644401668309,1.6624057029878319,0.020991223020393378,-0.2907528358022877
heuristic,high,36,44.50090356961196,0.3055555555555556,0.6944444444444444,0.536845172620589,0.9556315709858598,0.16950244956959248,0.03338242406023109,0.0,13.503175281784683,0.00729721906181011,0.6944444444444444,0.3055555555555556,1.962297663918035,1.0,,0.8000107606493485,1.1395938985083103,1.7241143708119226,0.23818329310611241,-0.30970103790938364
m290x64_a500,low,12,58.84252947552955,0.6666666666666666,0.3333333333333333,0.5164227464804264,0.90495567635549,0.24844827760487775,0.2434097011501886,0.05975052370976957,12.30087317648899,0.01926299623058488,0.3333333333333333,0.6666666666666666,2.4928329011818033,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.8032905716233355,-0.03198829417576232
m290x64_a500,medium,31,70.33359610053134,0.8709677419354839,0.12903225806451613,0.6502633780875541,1.4585184396853612,0.13177011032236888,0.0685173670142135,0.002932551319648094,12.554619889371919,0.019762849014612935,0.12903225806451613,0.8709677419354839,2.994625763333707,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3415805435506858,-0.1469953521403926
m290x64_a500,high,37,64.57917706360774,0.918918918918919,0.08108108108108109,1.6258529030371045,3.6422016660878582,0.1551717676769763,0.052369860315691914,0.0,11.933465563000233,0.02360750306901094,0.08108108108108109,0.918918918918919,4.3156823509555435,1.0,,0.8000107606493485,1.1395938985083103,1.7302891359882748,2.5853932149672683,-0.04297351819101225
m298pref_a020,low,12,58.84998102636076,0.6666666666666666,0.3333333333333333,0.5164182475838731,0.9050024218371409,0.24842362115462915,0.24354398260987856,0.05975052370976957,12.302014367598254,0.01930471699840079,0.3333333333333333,0.6666666666666666,2.492728169444122,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.8031858398856544,-0.03232594052434812
m298pref_a020,medium,31,70.32047826074603,0.8709677419354839,0.12903225806451613,0.6496391788465528,1.4568065085080295,0.13175324004710648,0.06863724321373572,0.002932551319648094,12.556514442692876,0.019797937824360786,0.12903225806451613,0.8709677419354839,2.9944529498209937,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3414077300379719,-0.14766060024390537
m298pref_a020,high,37,64.58685519499961,0.918918918918919,0.08108108108108109,1.6261786161282634,3.6430548310878805,0.15517494911224924,0.052378556986376765,0.0,11.93555379327185,0.023632595768651447,0.08108108108108109,0.918918918918919,4.31521766786433,1.0,,0.8000107606493485,1.1395938985083103,1.7302891359882748,2.584928531876055,-0.04317909412049614
m298pref_a020_reset,low,12,66.6129957792347,0.75,0.25,0.5334801856992195,0.9526662330657292,0.2123885214871922,0.050628475017095144,0.0,12.319768847257095,0.00823618935343499,0.25,0.75,2.657645752336819,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.9681034227783515,-0.08232930339011935
m298pref_a020_reset,medium,31,69.17500185002778,0.8709677419354839,0.12903225806451613,0.6373450743234094,1.4156383411252873,0.13694042483606725,0.04230604020534433,0.0,12.329956312923208,0.008269169127508517,0.12903225806451613,0.8709677419354839,2.955061999539638,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.3020167797566162,-0.16880435074841538
m298pref_a020_reset,high,37,58.94248513269492,0.8648648648648649,0.13513513513513514,1.7480660896492417,3.889359854598833,0.15169991813979838,0.0602894852241329,0.0,11.473849984512952,0.012852114209955608,0.08108108108108109,0.8648648648648649,4.292061208335026,1.0,,0.8000107606493485,1.1395938985083103,1.7302891359882748,2.5617720723467508,-0.04035117928601428
m298pref_a020_zero_all,low,12,62.91257368531006,0.75,0.25,0.5142171456669039,0.9370430178751565,0.2527151325646946,0.19899885387201208,0.04956896551724138,12.062727071323181,0.010195071440345297,0.25,0.75,2.487974533481386,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.7984322039229186,-0.060434767492493435
m298pref_a020_zero_all,medium,31,69.73137592460462,0.8709677419354839,0.12903225806451613,0.6810752571258957,1.5197253698317033,0.13461659672076812,0.06644971574228954,0.0,12.009334495637455,0.010228401410483545,0.12903225806451613,0.8709677419354839,2.991329598138939,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,1.338284378355918,-0.1433830590576204
m298pref_a020_zero_all,high,37,53.117005894851,0.7567567567567568,0.24324324324324326,1.8563005110187858,4.104345633277252,0.1473183855006439,0.07041373883565766,0.0,11.135792272314422,0.013100161393349236,0.08108108108108109,0.7567567567567568,4.357529422667551,1.0,,0.8000107606493485,1.1395938985083103,1.7302891359882748,2.6272402866792763,-0.05418662669472418
random,low,12,29.843420862371982,0.16666666666666666,0.8333333333333334,0.9142487017375114,1.8693394773459886,0.21634945461015065,0.12967721898397683,0.03627450980392157,13.356514008753145,1.3157241642475128,0.75,0.16666666666666666,1.7205139801330038,1.0,,0.3080938175562572,0.4485116947744147,1.6895423295584677,0.03097165057453612,-0.25230976817079376
random,medium,31,24.888074182714554,0.16129032258064516,0.8387096774193549,1.0755725899956665,2.2745244977363983,0.1454587791669184,0.0349493467904975,0.0,13.611613795118458,1.2950426763103855,0.8064516129032258,0.16129032258064516,1.6623941832393985,1.0,,0.47640473981011805,0.7920644401668309,1.6530452197830217,0.009348963456376877,-0.23391126621980507
random,high,37,33.40063299983233,0.21621621621621623,0.7837837837837838,0.909344596725277,1.811912484468867,0.1628375145943534,0.04418859911447141,0.0,13.27958809280247,1.3242644200453888,0.7837837837837838,0.21621621621621623,1.8482069949013828,1.0,,0.8000107606493485,1.1395938985083103,1.7302891359882748,0.11791785891310821,-0.2727275762018371
