profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,all_selected_metrics_finite
L0_current_masked,4,0.25,0.25,3.1060992061639237,0.6423527827120733,49.9879480137731,89.5,0.0015191530692391098,0.0,True
L1_one_step,4,0.0,0.0,4.252208727044109,1.0219826541109231,19.086257522849976,80.5,0.0017443641554564238,0.0,True
L2_window_100,4,0.0,0.0,6.146009988733201,2.823170561389967,12.623676795849425,65.25,0.0027802572585642338,0.0,True
L2_window_100_current_tiled,4,0.0,0.0,5.638362461154149,4.287643535898773,12.787046717033554,67.5,0.0032970538595691323,0.0,True
L2_window_13,4,0.0,0.0,12.827284705556796,10.13765210425016,6.714961195506133,55.0,0.0031881749746389687,0.0,True
L2_window_13_current_tiled,4,0.0,0.0,12.369607363018016,5.979511365154476,13.262659354902251,63.75,0.003406822099350393,0.0,True
L2_window_25,4,0.0,0.0,9.702787504586581,3.529550886489537,15.846540380019306,65.0,0.002880436135455966,0.0,True
L2_window_25_current_tiled,4,0.0,0.0,13.329369240419283,3.5379645565443902,23.806797610638817,68.5,0.003448246920015663,0.0,True
L2_window_50,4,0.0,0.0,7.666090413730215,4.319994068730707,11.63191651306639,62.25,0.0028599039069376886,0.0,True
L2_window_50_current_tiled,4,0.0,0.0,11.387874844054398,3.549615515787978,10.100178719032211,60.75,0.003463954373728484,0.0,True
L3_online_gru,4,0.25,0.0,5.591587288956194,0.4203101003258626,38.91393280176316,77.5,0.0014971054915804416,0.0,True
L3_reset_control_corrected,4,0.25,0.0,10.447513030333331,4.335130534587415,49.09834585781658,97.0,0.0007717628323007375,0.0,True
