profile_name,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,all_selected_metrics_finite
L0_current_masked,4,0.0,0.5,6.9295084448742355,-0.09729122709630697,19.214413119849144,72.5,0.0019200598762836307,0.0,True
L1_one_step,4,0.0,0.0,6.599042482139241,4.766724670263059,22.28674062944056,82.25,0.0017056594952009618,0.0,True
L2_window_100,4,0.0,0.0,9.642310196741583,3.221215375686837,9.129416929814894,63.5,0.0030281353974714875,0.0,True
L2_window_100_current_tiled,4,0.0,0.0,17.420724158952034,13.173029583219355,8.304535570388982,56.75,0.004110222740564495,0.0,True
L2_window_13,4,0.0,0.0,5.590291458131409,5.132177845734145,9.862181519316588,61.5,0.0028382636373862624,0.0,True
L2_window_13_current_tiled,4,0.0,0.0,11.705785394718827,3.9001807932153816,9.63108396389979,65.25,0.0032723910990171134,0.0,True
L2_window_25,4,0.0,0.0,10.837027975121828,3.883865710910983,14.334391515004778,67.5,0.002698907977901399,0.0,True
L2_window_25_current_tiled,4,0.0,0.0,13.440330380553258,2.3323210373747414,14.871095573196666,64.5,0.0031840826268307865,0.0,True
L2_window_50,4,0.0,0.0,9.92680777715206,4.519776389446047,13.002658859802647,64.0,0.0029704140033572912,0.0,True
L2_window_50_current_tiled,4,0.0,0.0,15.454151998789495,8.903377334093665,11.426107817288566,66.75,0.003054994565900415,0.0,True
L3_online_gru,4,0.25,0.25,5.9377616370674335,0.3250759992959784,38.251227723871594,88.25,0.0013875455770175904,0.0,True
L3_reset_control_corrected,4,0.25,0.0,7.2587289631669965,1.363051720439547,41.71325445045957,92.5,0.0008215414272854105,0.0,True
