surface,alpha,candidate_label,candidate_checkpoint,run_dir,corpus_csv,rows,baseline_success_drop_count,candidate_success_drop_count,normal_success_delta,normal_margin_mean_delta,margin_gap_mean_delta,actor_inputs_changed,gate_pass
m183_m168,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m183_m168_replay,runs/m183_m168_boundary_outcome_corpus_dedup_seed9510/boundary_outcome_corpus.csv,16,16,16,0.0,0.00024950137448881415,4.0901562608344766e-05,False,True
m183_m170,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m183_m170_replay,runs/m183_m170_boundary_outcome_corpus_dedup_seed9510/boundary_outcome_corpus.csv,17,17,17,0.0,0.0002453793716046652,4.2917012929218415e-05,False,True
m193_m189,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m193_m189_replay,runs/m193_m189_boundary_outcome_corpus_seed9630/boundary_outcome_corpus.csv,14,14,14,0.0,0.00021360758186618695,0.0001192705340886998,False,True
m212_m204,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m212_m204_replay,runs/m212_m204_boundary_outcome_corpus_seed10040/boundary_outcome_corpus.csv,17,17,17,0.0,0.00021085455204689334,0.00011431359666965075,False,True
m223_m219,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m223_m219_replay,runs/m223_m219_boundary_outcome_corpus_seed10060/boundary_outcome_corpus.csv,17,17,17,0.0,0.00021092435425280453,0.00011435263159430449,False,True
m267_m264,0.15,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/full_gates/m267_m264_replay,runs/m267_m264_boundary_outcome_corpus_seed10070/boundary_outcome_corpus.csv,17,17,17,0.0,0.00021103236821097462,0.00011442199750996696,False,True
