seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean
103931,checkpoint,67,False,True,0.8241503666199002,0.34218199031906504,1285.9920174445424,0.8868910465134775,0.9118500829078389,-0.10095558922730441,0.7883829751982128,1.332813497542808,1.2379395401006854,2.793237902139527,2.793237902139527,23,True,True,unavoidable,False,True,2.6061189964786884,1.785386950375448,0.8207320461032404,74.47355685856402,1.1115456247546869,0.9182262046398008,1.858418811015433,0.1587193261705594,0.024357668693976615,0.0,12.608883656078604,0.007669467944651842,1,,,67,0.9182262046398008,0.1587193261705594,12.608883656078604,1.1115456247546869,0,,,,,0,,,,
103932,checkpoint,65,False,True,0.9337292982213792,0.4219874840934274,1381.591844123769,0.9528219614646684,0.823940692908381,-0.013256331075643724,1.276066603085484,0.6698688167207597,0.9957551646055218,2.320953060051788,2.320953060051788,14,True,True,unavoidable,False,True,2.719972997818284,1.4655310161961874,1.2544419816220964,73.05496795121655,1.12392258386487,1.1231790887592816,2.751778337634292,0.045723479617446265,0.08322664236342792,0.0,10.518514051074398,0.012910446152091026,1,,,65,1.1231790887592816,0.045723479617446265,10.518514051074398,1.12392258386487,0,,,,,0,,,,
103933,checkpoint,99,False,True,1.0113480193125999,0.47300418029438324,1372.0241285288366,0.946223536916439,1.14900478815704,-0.1382101054099969,1.0613815125624957,1.2622149752674126,0.7192951480573943,0.6378631368862825,0.6378631368862825,9,True,True,drift_required,False,True,6.41597919267302,1.9390456509089073,4.4769335417641125,61.29459388507168,0.619137311970421,3.348381700616754,7.1532100567042605,0.01978099926210897,0.08048605430284397,0.0,10.899459222303888,0.01650385744869709,1,,,99,3.348381700616754,0.01978099926210897,10.899459222303888,0.619137311970421,0,,,,,0,,,,
103934,checkpoint,72,False,True,0.7593489086717149,0.36283721058992796,1733.0748539943227,1.1952240372374638,0.9498842219569585,0.027804308178993375,1.103692213337515,0.726857051244623,0.6640238477578448,1.285878602709642,1.285878602709642,39,True,True,drift_required,False,True,2.920223420576438,1.6890759678231668,1.2311474527532713,80.24438461463755,1.114505341869966,0.861592672286212,1.8550067108841262,0.1394221692095423,0.024573814664272668,0.0,11.456042385915238,0.006890654098242521,1,,,72,0.861592672286212,0.1394221692095423,11.456042385915238,1.114505341869966,0,,,,,0,,,,
103935,checkpoint,69,False,True,1.0741932233474778,0.4006877523461927,1332.7701544209185,0.9191518306351162,1.1319305011469443,-0.1331713861401278,1.0313429637852785,1.1817116889445003,1.142734592224914,2.5645252916877332,2.5645252916877332,8,True,True,unavoidable,False,True,3.940837451954992,2.0355217957804332,1.9053156561745586,75.49455440568646,1.0941239768940065,0.9404534968331161,2.2480343558453058,0.0413896172413176,0.0500496988686131,0.0,13.309942412293141,0.010863684117794037,1,,,69,0.9404534968331161,0.0413896172413176,13.309942412293141,1.0941239768940065,0,,,,,0,,,,
103936,checkpoint,38,True,False,0.3490491197829456,0.6357154686590544,1731.9796666117757,1.194468735594328,0.8250575873868311,-0.10306682475679652,1.2662060907873518,0.9564730880641636,1.082574859215745,2.2756079260439233,2.2756079260439233,28,True,True,unavoidable,True,False,1.935543724910719,1.9524147372237342,-0.016871012313015132,5.871837062461122,0.1545220279595032,0.19812861689671393,0.4240672639154113,0.19972466436667627,0.05713785228218562,0.0,13.620791345175663,0.01339292898774147,1,,,38,0.19812861689671393,0.19972466436667627,13.620791345175663,0.1545220279595032,0,,,,,0,,,,
103937,checkpoint,64,False,True,0.6503077611268322,0.6722223713097786,1518.0344404986927,1.046920303792202,0.8388980916749592,-0.016286949442519738,1.0981581056712373,0.8483891008913348,1.234022146349906,2.3900311230216946,2.3900311230216946,22,True,True,drift_required,False,True,3.5931123792697406,1.6552690916340405,1.9378432876357001,71.21226612175266,1.1126916581523854,0.5018392519412579,0.9273679754052537,0.27020295556102125,0.022817373133527014,0.0,14.447598499366293,0.006944641005247831,1,,,64,0.5018392519412579,0.27020295556102125,14.447598499366293,1.1126916581523854,0,,,,,0,,,,
103938,checkpoint,65,False,True,0.4172063949635483,0.518412829725081,1534.9492616326077,1.0585856976776604,0.8526567985824924,-0.13096382586948807,1.1565485992204383,1.3168284275890214,0.9140721516310057,1.0269295149417734,1.0269295149417734,19,True,True,drift_required,False,True,2.3971048466207163,1.9661746265806666,0.43093022004004977,81.29634250510189,1.2507129616169521,0.08802072407422745,0.22230776861725587,0.04955366079503651,0.041269063977042275,0.0,13.86171856675504,0.008101905696094036,1,,,65,0.08802072407422745,0.04955366079503651,13.86171856675504,1.2507129616169521,0,,,,,0,,,,
103939,checkpoint,71,False,True,0.5375767272499063,0.32926756455092343,1686.3765713652233,1.1630183250794643,1.0714370908379056,-0.05327932809694769,1.2571421485110092,1.1574471236113797,0.9939802090462031,1.12913664524013,1.12913664524013,9,True,True,drift_required,False,True,4.126912878536321,1.6719528465277933,2.4549600320085276,78.64943186542257,1.1077384769777827,0.7614018769136345,1.3806615147120382,0.23271256097435586,0.057303791442572256,0.0,14.588940142161167,0.005852966569364071,1,,,71,0.7614018769136345,0.23271256097435586,14.588940142161167,1.1077384769777827,0,,,,,0,,,,
103940,checkpoint,111,False,True,0.9177325836277213,0.3434143396335733,1467.1225093629819,1.011808627146884,0.960943574306472,0.013178249995125402,1.0948497595208564,0.6868067925776689,1.243699600105098,2.0802556143416586,2.0802556143416586,24,True,True,drift_required,False,True,7.1398731042293555,1.9448867442941316,5.194986359935224,53.23934913778112,0.4796337760160461,3.497454614540743,7.793280827538908,0.12207569703520836,0.07123336695926563,0.0,9.869461050812426,0.015010801143944263,1,,,111,3.497454614540743,0.12207569703520836,9.869461050812426,0.4796337760160461,0,,,,,0,,,,
103941,checkpoint,56,False,True,1.0956566630759565,0.46773450065314237,1405.3468861401036,0.9692047490621404,1.2178645187997232,-0.13637967094746584,0.6183575554918348,1.1994228549704316,1.2182125155726666,2.24006814318897,2.24006814318897,40,True,True,unavoidable,False,True,1.8473200333662725,1.8095650027128705,0.03775503065340202,66.87978048054536,1.194281794295453,0.20898986392876354,0.5648673052035775,0.20673412029526747,0.03031615055291783,0.0,13.195216417541664,0.009650579653680325,1,,,56,0.20898986392876354,0.20673412029526747,13.195216417541664,1.194281794295453,0,,,,,0,,,,
103942,checkpoint,64,False,True,0.47258376663873647,0.7445385508104415,1419.5831285533006,0.9790228472781384,1.18158624692484,-0.07080075314914192,0.8391570009802078,1.0244433805102404,1.2034322882301067,2.0215709733697476,2.0215709733697476,12,True,True,drift_required,False,True,3.0088341727633305,1.4653081116817348,1.5435260610815957,74.9615567594483,1.1712743243663797,0.8528929771835562,1.6970665092596562,0.11836395402333175,0.05490824662002802,0.0,12.64996994242441,0.007237677462399006,1,,,64,0.8528929771835562,0.11836395402333175,12.64996994242441,1.1712743243663797,0,,,,,0,,,,
103943,checkpoint,86,False,True,1.0748190532322301,0.6197623874275533,1573.3487853140537,1.0850681278027956,1.0745392663553137,-0.10326314603095876,1.3479835713187542,0.9686093627433658,1.1516119953977215,2.003687893377931,2.003687893377931,8,True,True,aes_feasible,False,True,6.73544649139637,1.5979746631510752,5.137471828245295,60.39763193890825,0.7022980458012587,2.621379884312288,6.1014596894271165,0.06507734275219845,0.0551052190236263,0.0,12.58427175219129,0.018430106341838837,1,,,86,2.621379884312288,0.06507734275219845,12.58427175219129,0.7022980458012587,0,,,,,0,,,,
103944,checkpoint,65,False,True,0.4015891117470969,0.6949254143599465,1163.1259433180014,0.802155822977932,1.224848000460184,-0.13589042422384923,1.365895892902747,0.5581453841185906,1.1167370053658445,1.6336478591025636,1.6336478591025636,20,True,True,aes_feasible,False,True,2.6419511546819185,1.3531905551982253,1.2887605994836933,74.52500825721114,1.146538588572479,0.3709247513715394,0.5108260982423047,0.23447489827293666,0.1467086345942075,0.0,14.130196212018335,0.009822442196309566,1,,,65,0.3709247513715394,0.23447489827293666,14.130196212018335,1.146538588572479,0,,,,,0,,,,
