atlas_cell_id,role_family,candidate_group,parameter_bin,hidden_dynamics_bucket,sampled_obstacle_label_scope,reset_attempt_id,reset_seed_index,eval_seed,effective_env_config_path,environment_load_attempted,environment_reset_attempted,reset_success,observation_length,expected_observation_length,observation_dimension_matches_expected,observation_finite,obstacle_initialized,obstacle_label,initial_mu,mu,mass_scale,tire_stiffness_scale,brake_scale,steer_tau_scale,drive_tau_scale,speed_ref,obstacle_distance,obstacle_lateral_offset,obstacle_half_width,obstacle_threshold_score,environment_step_count,policy_action_executed,environment_rollout_started,measured_rollout_started,repair_execution_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,active_config_overwritten,actor_input_contract_changed,ranking_admissible,winner_selected,paper_level_claim_made,finite_window_vs_gru_conclusion_made,level3_self_id_claim_made,scenario_redesign_executed_claim_made,training_repair_success_claim_made,current_sim_verdict_claim_made,failure_type,failure_reason
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_002,2,246810,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,0.772688930595652,0.772688930595652,1.1957481642292458,0.7976037504942302,0.8711188745074505,1.3802988980776556,1.3802988980776556,10.654883518276883,35.12527028127813,0.7489706146128547,0.5173131129383869,9.073617201779474,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_003,3,246811,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,1.099007867530186,1.099007867530186,1.1495796103314204,1.3119436827487252,0.8983405391710506,0.7893336281829434,0.7893336281829434,9.626139699961033,48.140148818168626,-0.1328275322257202,0.6706497023455145,29.269634094636896,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_004,4,246812,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,0.3139739272460332,0.3139739272460332,1.058896670121627,0.9120254317950001,1.064703833161336,1.2195910509267858,1.2195910509267858,9.3263967841458,45.96984624877307,0.5428577707154787,0.602269186422605,7.719278624170826,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_005,5,246813,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,0.36117054026379186,0.36117054026379186,1.0026654849940773,0.8702278968537376,0.8790060862415643,1.204545332282291,1.204545332282291,8.051277442623757,43.99057179824909,-0.1594476268892846,0.502826023652692,12.04427576264139,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_006,6,246814,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,0.9421561797094201,0.9421561797094201,1.0691812085460688,1.3108139592464698,0.9784540634699869,1.6366021678018843,1.6366021678018843,8.042149685576419,41.11357939537514,-0.7015349998619769,0.575986494679112,27.562605204959567,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_lateral_span,R0_stable_avoidable,stable_feasibility_support,stable_lateral_offset_span,mixed,aeb_feasible,stable_avoidable_lateral_span_seed_007,7,246815,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_lateral_span.json,True,True,True,72,72,True,True,True,aeb_feasible,1.046766399512841,1.046766399512841,1.18389378623279,0.8714581859039994,1.1002382726470727,1.6660024879528699,1.6660024879528699,9.743779221819443,47.39432476569824,0.5272407029127244,0.6395399496031405,26.734903696117897,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_low_mu,R0_stable_avoidable,stable_feasibility_support,stable_low_mu_long_distance,low_mu,aeb_feasible,stable_avoidable_low_mu_seed_000,0,246816,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_low_mu.json,True,True,True,72,72,True,True,True,aeb_feasible,0.3261565920001216,0.3261565920001216,0.8778320146532428,0.7659334150233743,1.0848002422512617,1.121880506820058,1.121880506820058,8.272844111405906,56.74705575745367,0.023527627323968847,0.4922203607878573,17.682480266764053,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_low_mu,R0_stable_avoidable,stable_feasibility_support,stable_low_mu_long_distance,low_mu,aeb_feasible,stable_avoidable_low_mu_seed_001,1,246817,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_low_mu.json,True,True,True,72,72,True,True,True,aeb_feasible,0.42384754253255996,0.42384754253255996,0.9652094841278454,0.8096276413612078,0.950263158456254,1.2626411513363818,1.2626411513363818,8.100201803189428,48.87518871977313,-0.10230534493018695,0.4831643823533136,17.88672497869685,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_low_mu,R0_stable_avoidable,stable_feasibility_support,stable_low_mu_long_distance,low_mu,aeb_feasible,stable_avoidable_low_mu_seed_002,2,246818,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_low_mu.json,True,True,True,72,72,True,True,True,aeb_feasible,0.4374570763847646,0.4374570763847646,1.0612056970021615,1.017043789172942,1.036472429777448,1.1199386529031317,1.1199386529031314,8.848702257566622,42.96175723313389,-0.19285443302127625,0.5824627444333189,10.918132132186537,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
stable_avoidable_low_mu,R0_stable_avoidable,stable_feasibility_support,stable_low_mu_long_distance,low_mu,aeb_feasible,stable_avoidable_low_mu_seed_003,3,246819,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_avoidable_low_mu.json,True,True,True,72,72,True,True,True,aeb_feasible,0.3541878123084599,0.3541878123084599,1.082240738484581,0.9185805144200995,0.9429197886476404,1.2946422743688015,1.2946422743688015,9.17698552324153,49.27498630074894,-0.05925856997875556,0.6132844604716932,10.601360079964014,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
