label,run_dir,corpus_csv,baseline_policy,candidate_policy,rows,baseline_success_drop_count,candidate_success_drop_count,normal_margin_mean_delta,margin_gap_mean_delta,gate_pass
current_m333_surface,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/source_diverse_protected_diagnostic/replay_gates/current_m333_surface,runs/m320_m316_repaired_boundary_outcome_corpus_seed10080/boundary_outcome_corpus.csv,m399_base,m964_direction_target_a0_15,17,17,17,0.0003205313753588323,0.00010494051418585143,True
m317_continuity_surface,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/source_diverse_protected_diagnostic/replay_gates/m317_continuity_surface,runs/m320_m316_boundary_outcome_corpus_seed10080/boundary_outcome_corpus.csv,m399_base,m964_direction_target_a0_15,17,17,17,0.00032052737333123325,0.00010494229814408777,True
m314_continuity_surface,runs/m1044_v4_public_base_combined_active_set_guarded_ppo_smoke/raw_candidate_gate/source_diverse_protected_diagnostic/replay_gates/m314_continuity_surface,runs/m320_m314_boundary_outcome_corpus_seed10080/boundary_outcome_corpus.csv,m399_base,m964_direction_target_a0_15,17,17,17,0.0003205276503288482,0.00010494205762232901,True
