task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0149_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.2660011047963582,13.162576281230365,51.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0149_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.10958393229024121,9.774706876036959,41.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0149_t3,L3_reset_control_corrected,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,1.0285673957083112,92.2862334180309,66.0,1,L3_reset_control_corrected,1,m2063-osd-osd_v0_0149_t3,True,1,0,0,0,0,1
m2063-osd-osd_v0_0150_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.0795609778271511,1.6785406429055527,34.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0150_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06480736397197595,-2.3916972421983296,29.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0150_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.17858642079526077,-2.7532918039294962,30.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0150_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.050224029685163485,-8.47423528624207,22.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0150_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.07112126425938925,8.538586847055058,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0151_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.12972635333154492,-5.812625085778446,25.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0151_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.003624767979528043,-0.6971934692320474,29.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0151_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.125896809998836,-10.447294249642294,23.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0151_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08097847414619519,-5.957951532466048,24.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0151_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1859509002570512,-5.536381522572931,26.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0152_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,1,0.0,1.0,0.0,1.0,-0.013505934475438464,-6.797183719510617,72.0,0,,0,,True,0,1,0,1,0,0
m2063-osd-osd_v0_0152_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.0021854640070351206,21.45588680245691,59.0,0,,0,,True,0,1,0,0,1,0
