policy,checkpoint,row_id,target,physical_pair_key,left_seed,right_seed,left_step,right_step,relocated_obstacle_body_x,relocated_obstacle_body_y,relocated_obstacle_half_width,normal_success,wrong_history_success,success_drop,normal_margin,wrong_history_margin,margin_gap,normal_collision,normal_terminal_reason,normal_obstacle_completed,normal_return,normal_steps,normal_first_steer,normal_first_throttle,normal_first_brake,normal_first_action_distance,normal_trajectory_distance_mean,wrong_history_collision,wrong_history_terminal_reason,wrong_history_obstacle_completed,wrong_history_return,wrong_history_steps,wrong_history_first_steer,wrong_history_first_throttle,wrong_history_first_brake,wrong_history_first_action_distance,wrong_history_trajectory_distance_mean
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,0,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035188274821657,-0.0847412722260223,0.7205221533081763,True,False,True,0.008386445153300448,-0.005362931440106911,0.013749376593407359,False,obstacle_completed,True,68.67968729987727,54,0.7093551754951477,-0.19193316996097565,0.0030645744409412146,0.0,0.0,True,collision,False,15.752341958830606,46,0.689475417137146,-0.07960772514343262,0.07454630732536316,0.134617418050766,0.05300067365169525
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,1,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.399499837087571,-0.7749300391847886,1.559403683847978,True,False,True,0.009940896535132193,-0.003263996789018897,0.01320489332415109,False,obstacle_completed,True,52.09208029800337,46,0.6921889781951904,-0.20880796015262604,0.014711566269397736,0.0,0.0,True,collision,False,-2.7088310740584767,30,0.661567747592926,-0.05510370433330536,0.08575498312711716,0.1720750629901886,0.08491744846105576
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,2,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035188274821657,-0.0847412722260223,0.7255221533081764,True,False,True,0.003383695553716315,-0.01034120484829848,0.013724900402014795,False,obstacle_completed,True,68.68195269838235,54,0.7091395854949951,-0.19186536967754364,0.002962562022730708,0.0,0.0,True,collision,False,15.753029405364511,46,0.6893167495727539,-0.07958736270666122,0.07444597035646439,0.13457033038139343,0.05291812866926193
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,3,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.399499837087571,-0.7749300391847886,1.5644036838479778,True,False,True,0.004943899736528756,-0.008245532067345795,0.013189431803874552,False,obstacle_completed,True,52.09253206574658,46,0.6919922232627869,-0.2087671160697937,0.01454175915569067,0.0,0.0,True,collision,False,-2.7089700521950633,30,0.6614623069763184,-0.05514146760106087,0.08564812690019608,0.17201462388038635,0.08482739329338074
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,4,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.189290905311069,-0.341788820638337,0.7205221533081763,True,False,True,0.00856790592285317,-0.004357671747919678,0.012925577670772848,False,obstacle_completed,True,65.61799363798275,51,0.6978631019592285,-0.15919481217861176,0.017941586673259735,0.0,0.0,True,collision,False,12.66725598114505,43,0.6758034229278564,-0.0404679998755455,0.0891198143362999,0.1401749849319458,0.05456708371639252
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,5,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.189290905311069,-0.341788820638337,0.7255221533081764,True,False,True,0.003569296594721605,-0.009333732401475281,0.012903028996196886,False,obstacle_completed,True,65.61987148048829,51,0.6976543664932251,-0.15917015075683594,0.01782025583088398,0.0,0.0,True,collision,False,12.667654442689638,43,0.6756621599197388,-0.04052099213004112,0.08898848295211792,0.14009352028369904,0.05449029058218002
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,6,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.340891791495268,-0.5754166328128596,0.7205221533081763,True,False,True,0.008689821370697404,-0.0029764389827104942,0.011666260353407898,False,obstacle_completed,True,62.52683832123367,48,0.6886683702468872,-0.13238133490085602,0.030119512230157852,0.0,0.0,True,collision,False,9.537954226107558,40,0.6668409705162048,-0.01878492906689644,0.09498570114374161,0.13262051343917847,0.054515641182661057
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,7,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.340891791495268,-0.5754166328128596,0.7255221533081764,True,False,True,0.0036936981417194925,-0.007952193184855627,0.01164589132657512,False,obstacle_completed,True,62.52839406494563,48,0.6884678602218628,-0.13239140808582306,0.029983988031744957,0.0,0.0,True,collision,False,9.538150048348355,40,0.66670823097229,-0.01888294331729412,0.09483980387449265,0.13252897560596466,0.05444534868001938
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,8,future_braking_deceleration,9530:18:9550:21,9530,9550,18,21,10.490448735420024,-0.7841124248246532,0.7255221533081764,True,False,True,0.0037584698329979904,-0.006507683322488189,0.01026615315548618,False,obstacle_completed,True,59.41343768580314,45,0.6820555925369263,-0.10674126446247101,0.042904406785964966,0.0,0.0,True,collision,False,6.380389842556067,37,0.6599653959274292,0.0002366974949836731,0.10050240159034729,0.12349004298448563,0.05310710892081261
m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,9,future_braking_deceleration,9530:15:9550:15,9530,9550,15,15,11.340891791495268,-0.5754166328128596,0.7255221533081764,True,False,True,0.0036936981417194925,-0.004647106801086043,0.008340804942805535,False,obstacle_completed,True,62.52839406494563,48,0.6884678602218628,-0.13239140808582306,0.029983988031744957,0.0,0.0,True,collision,False,9.406159432822832,40,0.6758555173873901,-0.04893149435520172,0.08512158691883087,0.10082054883241653,0.04382586479187012
