selection_quota_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
collision_mitigation_relief,outcome_by_selection_quota,no_support,144,0,144,0,1,0.0,1.0,0.0,0.006944444444444444,-0.42194490536144735,-10.32884319796624,12.506944444444445,True,0,144,0,1,143,0
mitigation_metric_isolation,outcome_by_selection_quota,no_support,96,0,84,12,12,0.0,0.875,0.125,0.125,0.5734328649864532,-9.369652911426227,10.041666666666666,True,0,84,12,12,84,0
offtrack_anchor_relief,outcome_by_selection_quota,no_support,288,0,0,288,288,0.0,0.0,1.0,1.0,41.85437811251789,5.521559131527262,19.56597222222222,True,0,0,288,288,0,0
offtrack_boundary_relief_extension,outcome_by_selection_quota,no_support,192,0,0,192,192,0.0,0.0,1.0,1.0,11.840195090746102,5.901324639077232,20.640625,True,0,0,192,192,0,0
success_support_expansion,outcome_by_selection_quota,comparison_ready_candidate_without_profile_diversity_check,240,40,37,163,168,0.16666666666666666,0.15416666666666667,0.6791666666666667,0.7,4.412611232200953,7.05268060248033,25.841666666666665,True,40,37,163,168,32,40
