profile_name,repair_source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L2_window_25_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.727951931461451,3.9412426516069385,19.3125,True,0,0,16,16,0,0
L2_window_25_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,20,0,3,17,18,0.0,0.15,0.85,0.9,5.0795207511231775,1.8058863786939585,23.65,True,0,3,17,18,2,0
L2_window_50,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,42.501841119385126,3.866530709182521,18.708333333333332,True,0,0,24,24,0,0
L2_window_50,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.01982390166361835,-10.441963589705203,11.4,True,0,19,1,1,19,0
L2_window_50,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.304570250349077,3.771186034624045,19.875,True,0,0,16,16,0,0
L2_window_50,success_stabilizer,outcome_by_profile_source_kind,no_support,20,0,3,17,18,0.0,0.15,0.85,0.9,4.945849019558543,1.6636384212775546,24.05,True,0,3,17,18,2,0
L2_window_50_current_tiled,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,42.681187385735406,3.271405147807716,18.416666666666668,True,0,0,24,24,0,0
L2_window_50_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.028755405555962066,-10.113363431811226,11.45,True,0,19,1,1,19,0
L2_window_50_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.685047007807825,3.941874337661621,19.375,True,0,0,16,16,0,0
L2_window_50_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,20,0,3,17,17,0.0,0.15,0.85,0.85,5.102691164940275,1.6148709102080872,23.55,True,0,3,17,17,3,0
L3_online_gru,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,40.677248501458244,10.182683885796187,20.916666666666668,True,0,0,24,24,0,0
L3_online_gru,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.10506470290940965,-8.012297409496558,11.6,True,0,19,1,1,19,0
L3_online_gru,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.85599427837603,10.552633454283388,21.8125,True,0,0,16,16,0,0
L3_online_gru,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,20,11,3,6,6,0.55,0.15,0.3,0.3,3.2203021300234282,22.302518100139885,29.65,True,11,3,6,6,3,11
L3_reset_control_corrected,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,40.470147569509265,10.44112135839847,21.25,True,0,0,24,24,0,0
L3_reset_control_corrected,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.0260611296465167,-8.156390675490467,11.6,True,0,19,1,1,19,0
L3_reset_control_corrected,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.783097448169602,9.868057666438474,22.0,True,0,0,16,16,0,0
L3_reset_control_corrected,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,20,11,2,7,7,0.55,0.1,0.35,0.35,3.3026107385260106,22.582776690104673,29.5,True,11,2,7,7,2,11
