profile_name,parent_feasibility_tier_id,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L2_window_13_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.014214971345516424,-10.806249694076918,11.4,True,0,19,1,1,19,0
L2_window_13_current_tiled,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,4,0.0,0.4,0.6,0.8,3.9975032841470757,-4.760288424549036,23.6,True,0,2,3,4,1,0
L2_window_13_current_tiled,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,11.932711727955684,6.106492408254444,20.25,True,0,0,16,16,0,0
L2_window_25,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,3,4,5,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.7392058628323777,-1.0599968871646896,24.714285714285715,True,0,3,4,5,2,0
L2_window_25,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.85285719299486,3.8283238690668164,20.03125,True,0,0,32,32,0,0
L2_window_25,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,2,0.0,0.95,0.05,0.1,-0.08678371594403658,-10.771048088203818,11.55,True,0,19,1,2,18,0
L2_window_25,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.202276929799483,-3.7679057760491603,23.4,True,0,2,3,3,2,0
L2_window_25,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.143437910610688,4.194676831703251,20.125,True,0,0,16,16,0,0
L2_window_25_current_tiled,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.754463184566205,4.405214794089155,24.571428571428573,True,0,1,6,6,1,0
L2_window_25_current_tiled,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,34.04225800684374,3.3811026856774458,19.71875,True,0,0,32,32,0,0
L2_window_25_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.08685561279609473,-10.568252992552221,11.5,True,0,19,1,1,19,0
L2_window_25_current_tiled,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,4,0.0,0.4,0.6,0.8,4.512649283313597,-3.3592951717715436,22.8,True,0,2,3,4,1,0
L2_window_25_current_tiled,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.727951931461451,3.9412426516069385,19.3125,True,0,0,16,16,0,0
L2_window_50,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.8335244442727892,2.8865148400354945,24.714285714285715,True,0,1,6,6,1,0
L2_window_50,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.91071191147136,3.9525367991398213,20.0,True,0,0,32,32,0,0
L2_window_50,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.01982390166361835,-10.441963589705203,11.4,True,0,19,1,1,19,0
L2_window_50,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,4,0.0,0.4,0.6,0.8,4.196742995884163,-4.123455201358228,23.4,True,0,2,3,4,1,0
L2_window_50,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.304570250349077,3.771186034624045,19.875,True,0,0,16,16,0,0
L2_window_50_current_tiled,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.8936654153087886,4.625315558108643,24.285714285714285,True,0,1,6,6,1,0
L2_window_50_current_tiled,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,34.11428237291257,2.910132965990478,19.625,True,0,0,32,32,0,0
L2_window_50_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.028755405555962066,-10.113363431811226,11.45,True,0,19,1,1,19,0
L2_window_50_current_tiled,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.297925343218311,-2.938064413381776,23.0,True,0,2,3,3,2,0
L2_window_50_current_tiled,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.685047007807825,3.941874337661621,19.375,True,0,0,16,16,0,0
L3_online_gru,tier_b_feasible_emergency,outcome_by_profile_parent_tier,candidate_support,7,5,2,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,1.415064565465779,23.745621497052234,28.571428571428573,True,5,2,0,0,2,5
L3_online_gru,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,weak_support,32,3,0,29,29,0.09375,0.0,0.90625,0.90625,31.743525058678365,12.38953515257894,23.5,True,3,0,29,29,0,3
L3_online_gru,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.10506470290940965,-8.012297409496558,11.6,True,0,19,1,1,19,0
L3_online_gru,tier_e_mitigation_only,outcome_by_profile_parent_tier,weak_support,5,3,1,1,1,0.6,0.2,0.2,0.2,2.9923505598996667,25.550059980002906,28.6,True,3,1,1,1,1,3
L3_online_gru,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.85599427837603,10.552633454283388,21.8125,True,0,0,16,16,0,0
L3_reset_control_corrected,tier_b_feasible_emergency,outcome_by_profile_parent_tier,candidate_support,7,5,2,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,1.6164755991681325,24.14645921863871,28.285714285714285,True,5,2,0,0,2,5
L3_reset_control_corrected,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,weak_support,32,4,0,28,28,0.125,0.0,0.875,0.875,31.816342117214834,13.714263804399035,23.53125,True,4,0,28,28,0,4
L3_reset_control_corrected,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.0260611296465167,-8.156390675490467,11.6,True,0,19,1,1,19,0
L3_reset_control_corrected,tier_e_mitigation_only,outcome_by_profile_parent_tier,weak_support,5,2,0,3,3,0.4,0.0,0.6,0.6,1.5794958987381857,18.872158026483326,29.8,True,2,0,3,3,0,2
L3_reset_control_corrected,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.783097448169602,9.868057666438474,22.0,True,0,0,16,16,0,0
